ticker,date,close,rsi,ma5,ma20,pref_date,PREV_ma5,PREV_ma20,volume
astellas,2026-02-05 00:00:00+09:00,2421.0,73.31772003540601,2241.7,2232.325,2026-02-04 00:00:00+09:00,2183.0,2220.55,17910200
khi,2026-02-05 00:00:00+09:00,13680.0,59.867116283788576,13447.0,13424.5,2026-02-04 00:00:00+09:00,13308.0,13321.5,4644500
nipponsteel,2026-02-05 00:00:00+09:00,666.5999755859375,57.345474493589386,659.8400024414062,659.3699981689454,2026-02-04 00:00:00+09:00,655.960009765625,658.5100006103515,62932300
