講談社,8,講談社コミックス,FAIRY TAIL 100 YEARS QUEST（12）,真島ヒロ／上田敦夫,528,
講談社,15,講談社コミックス,甘神さんちの縁結び（６）,内藤マーシー,528,
講談社,15,講談社コミックス,彼女、お借りします（27）,宮島礼吏,528,
講談社,15,講談社コミックス,カッコウの許嫁（13）,吉河美希,528,
集英社,4,ジャンプコミックス,僕のヒーローアカデミア（35）,堀越耕平,484,
集英社,4,集英社ホームコミックス,僕のヒーローアカデミア　THE MOVIE WORLD HEROES’　MISSION アニメコミックス,堀越耕平／樹想社,1595,
集英社,19,ヤングジャンプコミックス,制裁学園（４）,栗原正尚,715,
集英社,19,ヤングジャンプコミックス,バツハレ（１）,稲葉みのり,660,
小学館,19,裏少年サンデーコミックス,出会って5秒でバトル（20）,はらわたさいぞう／みやこかしわ,715,
スクウェア・エニックス,7,ガンガンコミックスUP！,迷宮キングダム　特殊部隊SASのおっさんの異世界ダンジョンサバイバルマニュアル！（４・完）,宮澤伊織、河嶋陶一朗／冒険企画局／山内了兵ほか,700,
