秋田書店,20,チャンピオンREDコミックス,神呪のネクタール（14）,佐藤健悦／吉野弘幸,693,
秋田書店,20,ヤングチャンピオン・コミックス,性食鬼　Aliens Meet Girls（４）,稲光伸二／ＲｕｓｔｙＳｏｕｌほか,693,
KADOKAWA,7,ドラゴンコミックスエイジ,トリニティセブン　7人の魔書使い（28）,サイトウケンジ／奈央晃徳,未定,
KADOKAWA,7,ドラゴンコミックスエイジ,トリニティセブン　リヴィジョン（３）,サイトウケンジ／西尾洋一ほか,未定,
講談社,17,講談社コミックス,EDENS ZERO（23）,真島ヒロ,528,
講談社,17,講談社コミックス,カッコウの許嫁（14）,吉河美希,528,
集英社,4,ジャンプコミックス,僕のヒーローアカデミア（36）,堀越耕平,484,
集英社,4,ジャンプコミックス,僕のヒーローアカデミア　チームアップミッション（４）,あきやま陽光／堀越耕平,484,
集英社,4,ジャンプコミックス,ダンダダン（７）,龍幸伸,528,
集英社,4,ジャンプコミックス,チェンソーマン（12）,藤本タツキ,484,
集英社,4,愛蔵版コミックス,TVアニメ『チェンソーマン』公式スタートガイド　スターターロープ,藤本タツキ,1320,
