出版社,発売日,シリーズ名・書名,著者,予価,
秋田書店,8,少年チャンピオン・コミックス,はらぺこ銀河（上）,魚乃目三太,726,
秋田書店,8,少年チャンピオン・コミックス,魔入りました！入間くん　公式ファンブック　悪魔学校バビルス入学案内,西修／週刊少年チャンピオン編集部,1200,
秋田書店,8,少年チャンピオン・コミックス,魔入りました！入間くん（31）,西修,561,
秋田書店,8,少年チャンピオン・コミックス,魔界の主役は我々だ！（13）,津田沼篤／西修ほか,561,
秋田書店,8,少年チャンピオン・コミックス,SHY（18）,実樹ぶきみ,550,
秋田書店,8,少年チャンピオン・コミックス,ヤンキーJKクズハナちゃん（15）,宗我部としのり,550,
秋田書店,8,少年チャンピオン・コミックス,蟻の王（16）,塚脇永久／伊藤龍,550,
秋田書店,8,少年チャンピオン・コミックス,僕の心のヤバイやつ（８）,桜井のりお,528,
秋田書店,8,少年チャンピオン・コミックス,ハリガネサービス外伝ヒュドラブレイク（３）,荒達哉,550,
秋田書店,8,少年チャンピオン・コミックス,ハリガネサービスACE（21）,荒達哉,550,
秋田書店,8,少年チャンピオン・コミックス,バキ外伝　ガイアとシコルスキー　～ときどきノムラ　二人だけど三人暮らし～（１）,板垣恵介／林たかあき,693,
秋田書店,8,少年チャンピオン・コミックス,バキ外伝　烈海王は異世界転生しても一向にかまわんッッ（７）,板垣恵介／猪原賽ほか,693,
秋田書店,8,少年チャンピオン・コミックス,ハイパーハードボイルドグルメリポート新視覚版（１）,山本真太朗／上出遼平,858,
秋田書店,8,少年チャンピオン・コミックス,マグロと下半身（１）,うすはる,792,
秋田書店,8,少年チャンピオン・コミックス,メイカさんは押しころせない（11）,佐藤ショーキ,726,
秋田書店,8,少年チャンピオン・コミックス,ババンババンバンバンパイア（４）,奥嶋ひろまさ,726,
秋田書店,8,少年チャンピオン・コミックス,きみのご冥福なんていのらない（５）（完）,松尾あき,726,
秋田書店,8,少年チャンピオン・コミックス・エクストラ,WORST外伝　グリコ（21）,髙橋ヒロシ／鈴木リュータ,726,
秋田書店,16,A.L.C.DX,ナースのチカラ　～私たちにできること　訪問看護物語～（10）,広田奈都美,825,
秋田書店,16,A.L.C.DX,いのちの器（90）,上原きみ子,650,
