講談社,9,講談社コミックス,FAIRY TAIL 100 YEARS QUEST（13）,真島ヒロ／上田敦夫,528,
講談社,17,KCデラックス,化物語（19）,西尾維新／大暮維人,528,
講談社,17,講談社コミックス,女神のカフェテラス（８）,瀬尾公治,528,
集英社,4,ジャンプコミックス,ONE PIECE（104）,尾田栄一郎,528,
集英社,4,ジャンプコミックス,ONE PIECE学園（５）,尾田栄一郎／小路壮平,550,
集英社,4,ジャンプコミックス,あやかしトライアングル（11）,矢吹健太朗,528,
集英社,4,ジャンプコミックス,HUNTER×HUNTER（37）,冨樫義博,528,
集英社,17,ヤングジャンプコミックス,バツハレ（２）,稲葉みのり,715,
小学館,17,裏少年サンデーコミックス,出会って5秒でバトル（21）,はらわたさいぞう／みやこかしわ,715,
芳文社,1,芳文社コミックス／FUZコミックス,妻が完璧すぎるので、ちょっと乱していいですか？（１）,あきばるいき,748,
竹書房,16,バンブーコミックス,島崎奈々＠お仕事募集中（４）,あきばるいき,759,
日本文芸社,28,ニチブン・コミックス,はぐれアイドル地獄変（16）,高遠るい,803,
