発売日,出版社,シリーズ名・書名,著者,予価,
13,講談社,KCデザートむせるくらいの愛をあげる（１）,岩下慶子,550,
13,講談社,KCデラックス大正カンタレラ～冷たく甘い旦那様～（１）,きくちくらげ,517,
13,講談社,KCデラックスひとりじめしたい、恋なんだ（１）,夏園豪華,517,
13,講談社,KCデラックス蝶か犯か　～極道様　溢れて溢れて泣かせたい～（８）,鳥海ペドロ,517,
13,講談社,KCデラックスくじら浜男子高校えんげー部（１）,さんかく。,748,
13,講談社,KCデラックス褒めるひと　褒められるひと（３）,たけだのぞむ,748,
13,講談社,講談社コミックス別冊フレンド染まるくちびる（２）,岡野セキ,528,
13,講談社,講談社コミックス別冊フレンドウソ婚（12）,時名きうい,550,
13,講談社,講談社コミックス別冊フレンドメガネ、時々、ヤンキーくん（４）,なるき,528,
17,講談社,KCデラックス生徒会にも穴はある！（３）,むちまろ,715,
17,講談社,KCデラックス極彩色　東京卍リベンジャーズ　Brilliant Full Color Edition（７）,和久井健,880,
17,講談社,KCデラックス極彩色　東京卍リベンジャーズ　Brilliant Full Color Edition（８）,和久井健,880,
17,講談社,KCデラックスカナン様はあくまでチョロい（３）,ｎｏｎｃｏ,715,
17,講談社,KCデラックスB＆ALIVE（３）,鳴海聖二郎,715,
17,講談社,シリウスKCあ！　野生のお嬢様がとびだしてきた！！（１）,永瀬ようすけ,715,
17,講談社,マガジンエッジKCあ、それポンです！（１）,けんたうろす,693,
17,講談社,マガジンエッジKC勝ち目がないのは俺だけか！（２）,小村あゆみ,715,
17,講談社,マガジンエッジKC童貞絶滅列島（９）,川崎順平,715,
17,講談社,マガジンエッジKC死神探偵エルリアの解（３）,海冬レイジ／かんざきももた,715,
17,講談社,マガジンエッジKC中禅寺先生物怪講義録　先生が謎を解いてしまうから。（７）,志水アキ／京極夏彦,715,
17,講談社,講談社コミックス青のミブロ（８）,安田剛士,528,
17,講談社,講談社コミックスEDENS ZERO（26）,真島ヒロ,528,
17,講談社,講談社コミックス黒岩メダカに私の可愛いが通じない（９）,久世蘭,528,
17,講談社,講談社コミックス女神のカフェテラス（10）,瀬尾公治,528,
17,講談社,講談社コミックスデッドアカウント（１）,渡辺静,528,
17,講談社,講談社コミックスカノジョも彼女（15）,ヒロユキ,528,
17,講談社,講談社コミックスガチアクタ（６）,裏那圭／晏童秀吉,528,
17,講談社,講談社コミックスBADDIES！（３）,奧山哲矢,528,
17,講談社,講談社コミックス月刊マガジンどろぼうちゃん（４）,ひととせひるね,528,
20,講談社,KCデラックス復刻版　疾風伝説　特攻の拓（５）,佐木飛朗斗／所十三,792,
20,講談社,KCデラックス復刻版　疾風伝説　特攻の拓（６）,佐木飛朗斗／所十三,792,
20,講談社,ヤンマガKCスペシャルBeyond the Clouds 空から落ちた少女（３）,Ｎｉｃｋｅ,726,
20,講談社,ヤンマガKCスペシャル神龍イデア（４）,連打一人,726,
20,講談社,ヤンマガKCスペシャル僕は君たちを支配する（６）,千田大輔,726,
20,講談社,ヤンマガKCスペシャルツワモノガタリ（６）,細川忠孝／山村竜也,726,
20,講談社,ヤンマガKCスペシャル今夜は車内でおやすみなさい。（６）,小田原ドラゴン,726,
20,講談社,ヤンマガKCスペシャル追放された転生重騎士はゲーム知識で無双する（５）,猫子／武六甲理衣ほか,726,
20,講談社,ヤンマガKCスペシャル底辺冒険者だけど魔法を極めてみることにした　～無能スキルから神スキルに進化した【魔法創造】と【アイテム作成】で無双する～（３）,蒼乃白兎／坂野杏梨ほか,726,
20,講談社,ヤンマガKCスペシャルタダでは抱かれません（４）,檜原フキ,726,
21,講談社,KCデラックスバウンスバック（８）,こしのりょう,715,
21,講談社,KCデラックスルート　～雪の王国　目覚める星たち～（３）,秦和生,781,
21,講談社,アフタヌーンKCヘルハウンド（２）,皆川亮二,748,
21,講談社,アフタヌーンKCカオスゲーム（２）,山嵜大輝,748,
21,講談社,アフタヌーンKC最果てのセレナード（１）,ひの宙子,748,
21,講談社,アフタヌーンKC無限の住人～幕末ノ章～（８）,滝川廉治／陶延リュウほか,748,
21,講談社,アフタヌーンKC波よ聞いてくれ（10）,沙村広明,748,
21,講談社,イブニングKC金田一少年の事件簿30th（４）,天樹征丸／さとうふみや,715,
21,講談社,イブニングKCきんにゃいち少年の事件簿,天樹征丸／さとうふみやほか,715,
21,講談社,イブニングKCふたりソロキャンプ（15）,出端祐大,715,
21,講談社,イブニングKC紫電改343（９）,須本壮一,715,
21,講談社,イブニングKCプロ嫁（３）,渡辺慎一,715,
21,講談社,イブニングKCきりもやびより（５）,みずしな孝之,726,
21,講談社,モーニングKCアンメット　―ある脳外科医の日記―（10）,大槻閑人／子鹿ゆずる,715,
21,講談社,モーニングKC警視庁草紙　―風太郎明治劇場―（９）,山田風太郎／東直輝ほか,726,
21,講談社,モーニングKC刷ったもんだ！（９）,染谷みのる,748,
21,講談社,モーニングKCイクサガミ（１）,今村翔吾／立沢克美,715,
21,講談社,モーニングKCひとりでしにたい（６）,カレー沢薫／ドネリー美咲,759,
21,講談社,モーニングKCザ・ゲームスターズ（２）,オノ・ナツメ,715,
21,講談社,モーニングKCクッキングパパ（165）,うえやまとち,726,
21,講談社,モーニングKC社外取締役　島耕作（２）,弘兼憲史,715,
21,講談社,モーニングKCワンオペJOKER（３）,宮川サトシ／後藤慶介ほか,748,
21,講談社,ワイドKCとりぱん（31）,とりのなん子,836,
28,講談社,KCxヴィクトリア・ウィナー・オーストウェン王妃は世界で一番偉そうである（５）,新城一／海月崎まつり,715,
28,講談社,KCx永年雇用は可能でしょうか（２）,梨川リサ／ｙｏｋｕｕほか,726,
28,講談社,KCx死に戻りの幸薄令嬢、今世では最恐ラスボスお義兄様に溺愛されてます（３）,山いも三太郎／柚子れもん,715,
28,講談社,KCx話が違うと言われても、今更もう知りませんよ　～婚約破棄された公爵令嬢は第七王子に溺愛される～（３）,鏡ユーマ／鬱沢色素ほか,715,
28,講談社,KCx魔女メイドは女王の秘密を知っている。（１）,遠山えま,715,
28,講談社,KCx落第聖女なのに、なぜか訳ありの王子様に溺愛されています！（３）,イタガキコマリ／一分咲ほか,748,
28,講談社,KCx王太子様、私今度こそあなたに殺されたくないんです！　～聖女に嵌められた貧乏令嬢、二度目は串刺し回避します！～（３）,おしばなお／岡達英茉ほか,715,
28,講談社,KCx金貨100枚の花嫁　～捨てられ令嬢は、疎遠になっていた幼なじみに求婚される～（１）,三条尚／瀬尾優梨ほか,748,
4,集英社,ジャンプコミックスSPY×FAMILY（11）,遠藤達哉,572,
4,集英社,ジャンプコミックスタヌキツネのゴン（２）,メガサワラ,748,
4,集英社,ジャンプコミックス大門寺と問題児（１）,佐世保太郎,528,
4,集英社,ジャンプコミックスボクとキミの二重探偵（８）,辺天使／津田穂波,594,
4,集英社,ジャンプコミックス逃げ上手の若君（10）,松井優征,528,
4,集英社,ジャンプコミックスマッシュル―MASHLE―（16）,甲本一,528,
4,集英社,ジャンプコミックス夜桜さんちの大作戦（17）,権平ひつじ,528,
4,集英社,ジャンプコミックスSAKAMOTO DAYS（11）,鈴木祐斗,528,
4,集英社,ジャンプコミックスPPPPPP（７）,マポロ３号,528,
4,集英社,ジャンプコミックス大東京鬼嫁伝（２）,仲間只一,528,
4,集英社,ジャンプコミックスギンカとリューナ（２）,渡辺シンペイ,528,
4,集英社,ジャンプコミックスイチゴーキ！操縦中（１）,林聖二,528,
4,集英社,ジャンプコミックスウィッチウォッチ（10）,篠原健太,528,
4,集英社,ジャンプコミックス人造人間100（１）,江ノ島だいすけ,528,
4,集英社,ジャンプコミックスダークギャザリング（12）,近藤憲一,572,
4,集英社,ジャンプコミックスカワイスギクライシス（７）,城戸みつる,572,
4,集英社,ジャンプコミックスThisコミュニケーション（９）,六内円栄,594,
4,集英社,ジャンプコミックス極楽街（２）,佐乃夕斗,572,
4,集英社,ジャンプコミックスチェンソーマン（14）,藤本タツキ,528,
4,集英社,ジャンプコミックスアンテン様の腹の中（５）,夜諏河樹,748,
4,集英社,ジャンプコミックス阿波連さんははかれない（16）,水あさと,715,
4,集英社,ジャンプコミックスサラダ・ヴァイキング（４）,ソウイチロウ,770,
4,集英社,ジャンプコミックス幕末賭博バルバロイ（４）,河本ほむら／羽田豊隆,770,
4,集英社,ジャンプコミックスドラゴンクエスト　ダイの大冒険　勇者アバンと獄炎の魔王（７）,三条陸／芝田優作,528,
4,集英社,ジャンプコミックスドラゴンクエスト　ダイの大冒険　クロスブレイド（５）,天望良一,572,
4,集英社,ジャンプコミックスカラダ探し　異（３）,ウェルザード／土城温美ほか,528,
4,集英社,ジャンプコミックス鴨乃橋ロンの禁断推理（10）,天野明,715,
4,集英社,ジャンプコミックスアラガネの子（７）,佐々木尚,770,
4,集英社,ジャンプコミックスキョンシーX（１）,倉薗紀彦,748,
4,集英社,ジャンプコミックス幼稚園WARS（２）,千葉侑生,715,
4,集英社,ジャンプコミックスバンオウ　―盤王―（１）,綿引智也／春夏冬画楽,715,
4,集英社,ジャンプコミックス限界煩悩活劇オサム（２）,ゲタバ子,715,
4,集英社,ジャンプコミックスマリッジトキシン（４）,静脈／依田瑞稀,572,
4,集英社,ジャンプコミックス戦奏教室（３）,空もずく／十森ひごろ,550,
4,集英社,ジャンプコミックス岸辺露伴　ルーヴルヘ行く,荒木飛呂彦,935,
4,集英社,ジャンプコミックスキャプテン翼　ライジングサン（18）,高橋陽一,528,
4,集英社,ジャンプコミックスホロックスみーてぃんぐ！　～holoX MEETing～（上）,カバー（株）／（同）オムカレーほか,528,
4,集英社,ヤングジャンプコミックス終末のハーレム　ファンタジア（13）,ＬＩＮＫ／ＳＡＶＡＮ,748,
4,集英社,愛蔵版コミックスONE PIECE 尾田栄一郎画集　DRAGON COLOR WALK（10）,尾田栄一郎／（株）キャラメルママ,2970,
18,集英社,ヤングジャンプコミックスとなりの百怪見聞録（１）,綿貫芳子,748,
18,集英社,ヤングジャンプコミックス兵器少女（３）,千田浩之,770,
18,集英社,ヤングジャンプコミックス社畜、ダンジョンだらけの世界で固有スキル『強欲』を手に入れて最強のバランスブレーカーになる～会社をやめてのんびり暮らします～（３）,相野仁／拓平ほか,748,
18,集英社,ヤングジャンプコミックスバトゥーキ（15）,迫稔雄,715,
18,集英社,ヤングジャンプコミックス新しいきみへ（４）,三都慎司,748,
18,集英社,ヤングジャンプコミックス俺だけ不遇スキルの異世界召喚叛逆記～最弱スキル【吸収】が全てを飲み込むまで～（２）,すかいふぁーむ／高幡隆盛,715,
18,集英社,ヤングジャンプコミックス史上最強の宮廷テイマー　～自分を追い出して崩壊する王国を尻目に、辺境を開拓して使い魔たちの究極の楽園を作る～（２）,すかいふぁーむ／天城五寸釘ほか,715,
18,集英社,ヤングジャンプコミックス久保さんは僕を許さない（12）,雪森寧々,748,
18,集英社,ヤングジャンプコミックス平成少年ダン（３）,サンカクヘッド,748,
18,集英社,ヤングジャンプコミックス平成少年ダン（４）,サンカクヘッド,748,
18,集英社,ヤングジャンプコミックス魔帝教師と従属少女の背徳契約（２）,虹元喜多朗／ヨシモトほか,715,
18,集英社,ヤングジャンプコミックス転生ゴブリンだけど質問ある？（７）,三木なずな／荒木宰,748,
18,集英社,ヤングジャンプコミックス【世界最強の執事】ブラック職場を追放された俺、氷の令嬢に拾われる　～生活魔法を駆使して無双していたら、幸せな暮らしが始まりました～（２）,昼行燈／ｋａｍｕｉ,715,
18,集英社,ヤングジャンプコミックス銀河英雄伝説（26）,田中芳樹／藤崎竜,715,
18,集英社,ヤングジャンプコミックス只野工業高校の日常（８）,小賀ちさと,715,
18,集英社,ヤングジャンプコミックスセレブるカップル（３）,早坂啓吾,748,
18,集英社,ヤングジャンプコミックスBLACK TIGER ブラックティガー（11）,秋本治,770,
18,集英社,ヤングジャンプコミックス制裁学園（５）,栗原正尚,748,
18,集英社,ヤングジャンプコミックス史上最強の魔法剣士、Fランク冒険者に転生する　～剣聖と魔帝、2つの前世を持った男の英雄譚～（９）,柑橘ゆすら／亀山大河ほか,715,
18,集英社,ヤングジャンプコミックスシェパードハウス・ホテル（１）,はまぐり／森数機,715,
18,集英社,ヤングジャンプコミックススペコン～年収1000万以上の男しか眼中にない女と20代美女しか興味ない男～（１）,星野スミ,748,
18,集英社,ヤングジャンプコミックス女子高生除霊師アカネ！（１）,大武政夫,748,
18,集英社,ヤングジャンプコミックス異世界に来た僕は器用貧乏で素早さ頼りな旅をする（７）,紙風船／こちもほか,748,
18,集英社,ヤングジャンプコミックス裏切られたSランク冒険者の俺は、愛する奴隷の彼女らと共に奴隷だけのハーレムギルドを作る（７）,柊咲／川田暁生ほか,715,
18,集英社,ヤングジャンプコミックス剣神と魔帝の息子はダテじゃない（２）,ｓｈｉｒｙｕ／結ゆいほか,748,
18,集英社,ヤングジャンプコミックスギルド追放された雑用係の下剋上～超万能な生活スキルで世界最強～（１）,夜桜ユノ／柳輪ほか,715,
18,集英社,ヤングジャンプコミックス地下室ダンジョン　～貧乏兄妹は娯楽を求めて最強へ～（６）,錆び匙／ひびぽんほか,715,
18,集英社,ヤングジャンプコミックス異世界男優～汁男優が異世界転生してエロ知識フル活用で無双男優になる話～（２）,蛙野エレファンテ／零之龍,748,
18,集英社,ヤングジャンプコミックスザシス（１）,森田まさのり,715,
18,集英社,ヤングジャンプコミックスGIFT～久保さんは僕を許さない　完結記念公式ファンブック～,雪森寧々／（株）キャラメルママ,990,
18,集英社,ヤングジャンプコミックスキングダム（68）,原泰久,715,
18,集英社,愛蔵版コミックス桂正和×TIGER ＆ BUNNY 2 原画＆ラフ画集成,桂正和,3960,
18,集英社,集英社ホームコミックス魔法を捨てたい女の子（１）,袴田めら／新島あん,858,
25,集英社,eyesコミックスカラー・コレクション,芹澤知,858,
25,集英社,オフィスユーコミックス霊感工務店リペア　吉の巻,池田さとみ,660,
25,集英社,マーガレットコミックスサクラ、サク。（７）,咲坂伊緒,528,
25,集英社,マーガレットコミックス山田家の女（２）,湯木のじん,528,
25,集英社,マーガレットコミックスお姉ちゃんの翠くん（３）,目黒あむ,528,
25,集英社,マーガレットコミックス狼に鈴（４）,中原アヤ,528,
25,集英社,マーガレットコミックス恋をふたさじ（４）,オノヤマコズエ,572,
25,集英社,マーガレットコミックスキミと越えて恋になる（４）,柚樹ちひろ,528,
25,集英社,マーガレットコミックスサレタガワのブルー（13）,セモトちか,990,
25,集英社,マーガレットコミックス黒婚　―ブラマリ―（10）,藍川さき,528,
25,集英社,マーガレットコミックスセンチメンタル　キス（８）,小森みっこ,528,
25,集英社,マーガレットコミックスたいがー＆どらごん（４）,ほしの瑞希,528,
25,集英社,マーガレットコミックスどうせ泣くなら恋がいい（１）,日下あき,528,
25,集英社,マーガレットコミックス猫には猫の猫ごはん。（８）,御木ミギリ,715,
25,集英社,マーガレットコミックス焦がれあい（２）,こう森,748,
25,集英社,りぼんマスコットコミックスアニマル横町（23）,前川涼,550,
25,集英社,りぼんマスコットコミックスハロー、イノセント（７）,酒井まゆ,528,
25,集英社,愛蔵版コミックス日に流れて橋に行く（８）,日高ショーコ,792,
25,集英社,集英社ガールズコミックスのみ×しば（４）,田倉トヲル,814,
25,集英社,集英社クリエイティブコミックス新・トルコで私も考えた　2023 巣立ち編,高橋由佳利,1100,
6,小学館,ビッグ　コミックス君は放課後インソムニア（12）,オジロマコト,715,
7,小学館,復刻名作漫画シリーズ新装版　まんが道（３）,藤子不二雄Ａ,2200,
7,小学館,復刻名作漫画シリーズ新装版　まんが道（４）,藤子不二雄Ａ,2200,
10,小学館,フラワーCアルファ神無月紫子の優雅な暇潰し（７）,赤石路代,550,
10,小学館,フラワーCアルファうしろに何かみえてますが（４）,赤石路代,550,
10,小学館,フラワーCアルファ君の手が紡ぐ（５）,水沢めぐみ,550,
10,小学館,フラワーCアルファ18歳、新妻、不倫します。（11）,わたなべ志穂,550,
12,小学館,ゲッサン少年サンデーコミックスLIFE MAKER（４）,宇津江広祐,715,
12,小学館,ゲッサン少年サンデーコミックスこれ描いて死ね（３）,とよ田みのる,820,
12,小学館,ゲッサン少年サンデーコミックス大ダーク（６）,林田球,968,
12,小学館,サンデーうぇぶりSSCジャイアントお嬢様（６）,肉村Ｑ,715,
12,小学館,サンデーうぇぶりSSC流血女神伝　～帝国の娘～（５）,須賀しのぶ／窪中章乃ほか,715,
12,小学館,サンデーうぇぶりSSC異世界ワンターンキル姉さん　～姉同伴の異世界生活はじめました～（10）,このえ／田口ケンジ,715,
12,小学館,サンデーうぇぶりSSCS天才魔女の魔力枯れ（１）,辻島もと,715,
12,小学館,ビッグ　コミックスダンス・ダンス・ダンスール（25）,ジョージ朝倉,715,
12,小学館,ビッグ　コミックス結婚するって、本当ですか（10）,若木民喜,715,
12,小学館,ビッグ　コミックス異世界猫と不機嫌な魔女（４）,柏葉ヒロ,715,
12,小学館,ビッグ　コミックス〔スペシャル〕新九郎、奔る！（13）,ゆうきまさみ,759,
12,小学館,小学館クリエイティブ単行本ラシャーヌ！愛蔵版（２）,魔夜峰央,2200,
12,小学館,少年サンデーコミックス名探偵コナン（103）,青山剛昌,550,
12,小学館,少年サンデーコミックス名探偵コナン　業火の向日葵（１）,青山剛昌／阿部ゆたかほか,550,
12,小学館,少年サンデーコミックス〔アニメ版〕名探偵コナン　黒ずくめの組織から来た女,青山剛昌／トムス・エンタテインメント,1430,
12,小学館,少年サンデーコミックス〔スペシャル〕名探偵コナンvs.黒ずくめの男達　PART4,青山剛昌,968,
12,小学館,少年サンデーコミックス〔スペシャル〕劇場版　名探偵コナン　紺青の拳〔新装〕,青山剛昌,1045,
12,小学館,夜サンデーSSC異世界不倫2～導かれし人妻たちと不器用転生勇者～（４）,大井昌和／いのまる,715,
12,小学館,裏少年サンデーコミックスケンガンオメガ（16）,サンドロビッチ・ヤバ子／だろめおん,715,
12,小学館,裏少年サンデーコミックスダンベル何キロ持てる？（18）,サンドロビッチ・ヤバ子／ＭＡＡＭ,715,
12,小学館,裏少年サンデーコミックス出会って5秒でバトル（22）,はらわたさいぞう／みやこかしわ,715,
12,小学館,裏少年サンデーコミックス教え子がAV女優、監督はボク。（９）,村西てんが,715,
12,小学館,裏少年サンデーコミックス弁護士・亜蘭陸法は漫画家になりたい（５）,ゆうきまひろ／武村勇治,715,
12,小学館,裏少年サンデーコミックスつれない彼女のひとりじめ（５）,甘里シュガー,715,
12,小学館,裏少年サンデーコミックスうそつき婚と星月夜（２）,ささきさ,715,
18,小学館,サンデーGXコミックスやはり俺の青春ラブコメはまちがっている。＠comic（22）,渡航／伊緒直道ほか,715,
18,小学館,サンデーGXコミックス任侠転生　―異世界のヤクザ姫―（11）,宮下裕樹／夏原武,715,
18,小学館,少年サンデーコミックス古見さんは、コミュ症です。（29）,オダトモヒト,550,
18,小学館,少年サンデーコミックスあおざくら　防衛大学校物語（28）,二階堂ヒカル,550,
18,小学館,少年サンデーコミックスビグネス参式（２）,勝郎,550,
18,小学館,少年サンデーコミックス双影双書（２）,舟本絵理歌,550,
18,小学館,少年サンデーコミックス九龍城でもう一度（２）,藤田三司,550,
18,小学館,少年サンデーコミックス君と悪いことがしたい（２）,由田果,550,
18,小学館,少年サンデーコミックス朱月事変（２）,壱原ちぐさ,550,
18,小学館,少年サンデーコミックスアオアシ　ジュニア版（27）,小林有吾,650,
18,小学館,少年サンデーコミックスアオアシ　ジュニア版（28）,小林有吾,650,
18,小学館,少年サンデーコミックスMAO（16）,高橋留美子,550,
18,小学館,少年サンデーコミックス〔スペシャル〕～異伝・絵本草子～　半妖の夜叉姫（４）,椎名高志／高橋留美子ほか,715,
18,小学館,少年サンデーコミックス〔スペシャル〕カナカナ（５）,西森博之,715,
18,小学館,裏少年サンデーコミックスあなたは私におとされたい（６）,宮口ジュン／梅涼,880,
18,小学館,裏少年サンデーコミックス異世界美少女受肉おじさんと（９）,池澤真／津留崎優,880,
18,小学館,裏少年サンデーコミックスHelck 新装版（９）,七尾ナナキ,730,
18,小学館,裏少年サンデーコミックス灼熱カバディ（24）,武蔵野創,715,
18,小学館,裏少年サンデーコミックス史上最強オークさんの楽しい異世界ハーレムづくり（12）,月夜涙／みわべさくらほか,715,
18,小学館,裏少年サンデーコミックス死に戻り、全てを救うために最強へと至る＠comic（６）,ｓｈｉｒｙｕ／手島ｎａｒｉ。ほか,715,
18,小学館,裏少年サンデーコミックス塩対応の佐藤さんが俺にだけ甘い＠comic（６）,猿渡かざみ／Ａちきほか,715,
18,小学館,裏少年サンデーコミックスウソツキ皐月は死が視える（６）,了子,715,
18,小学館,裏少年サンデーコミックス最強女師匠たちが育成方針を巡って修羅場（４）,赤城大空／タジマ粒子ほか,715,
18,小学館,裏少年サンデーコミックス常人仮面（１）,一路一／鶴吉繪理,715,
20,小学館,サンデーうぇぶりSSC三途の川アウトレットパーク（１）,寺田浩晃,715,
26,小学館,ちゃおコミックスキング様のいちばん星（４）,如月ゆきの,528,
26,小学館,ちゃおコミックス天使と悪魔とわたし。（４）,中嶋ゆか,528,
26,小学館,ちゃおコミックスハイカラおとめ～開花宣言～（２）,花星みくり,528,
26,小学館,ちゃおコミックスないしょのリリー（２）,ふじたはすみ,528,
26,小学館,ちゃおコミックス大人はわかってくれない。（８）,まいた菜穂,572,
26,小学館,フラワーCアルファ容疑者Aの花嫁（２）,遠山えま,550,
26,小学館,フラワーコミックス反抗期なカレシ（５）,川上ちひろ,528,
26,小学館,フラワーコミックス仁義なき婿取り（12）,佐野愛莉,528,
26,小学館,フラワーコミックス月とメープルシロップ　―先生との恋は蜜の味―（４）,華夜,528,
26,小学館,フラワーコミックスおさななじみに恋したら（４）,手島ちあ,528,
26,小学館,フラワーコミックス今日もスーパースターに求婚されてます（２）,七海月,528,
26,小学館,フラワーコミックス初恋のつづきは男子寮で（１）,七海月,528,
26,小学館,フラワーコミックス〔スペシャル〕僕と魔女についての備忘録（２）,三つ葉優雨,715,
27,小学館,エヌ・オー・コミックスレッツゴー怪奇組（４）,ビュー,770,
28,小学館,てんとう虫コミックスMINECRAFT～世界の果てへの旅～（７）,瀬戸カズヨシ,550,
28,小学館,てんとう虫コミックスオレだけはマトモくん（３）,中村夏寿紀,550,
28,小学館,てんとう虫コミックスなんと！　でんぢゃらすじーさん（13）,曽山一寿,550,
28,小学館,てんとう虫コミックススーパーマリオくん（59）,沢田ユキオ,550,
28,小学館,てんとう虫コミックスポケモンカードゲームやろうぜ～っ！　VSTAR！VMAX！激闘編,松島リュウ,550,
28,小学館,てんとう虫コミックス〔スペシャル〕ドラゴン娘のどこでもないゾーン（１）,ニャロメロン,770,
28,小学館,てんとう虫コミックス〔スペシャル〕クック池崎のジャスティス！駄菓子クッ王（１）,御狐ちひろ,715,
28,小学館,てんとう虫コミックス〔スペシャル〕動物最強地下格闘技ビースト1GP（１）,小泉作十,770,
28,小学館,ビッグ　コミックスレ・セルバン（１）,濱田浩輔,715,
28,小学館,ビッグ　コミックスレ・セルバン（２）,濱田浩輔,715,
28,小学館,ビッグ　コミックスガイシューイッショク！（５）,色白好,715,
28,小学館,ビッグ　コミックス駅伝男子プロジェクト（２）,高橋しん,715,
28,小学館,ビッグ　コミックスTHE ALPINE CLIMBER 単独登攀者・山野井泰史の軌跡（４）,よこみぞ邦彦／山地たくろう,715,
28,小学館,ビッグ　コミックス無田のある生活（１）,朝比奈ショウ,715,
28,小学館,ビッグ　コミックスROPPEN ―六篇―（１）,宮下暁,715,
28,小学館,ビッグ　コミックスマイホームアフロ田中（２）,のりつけ雅春,715,
28,小学館,ビッグ　コミックス無職の学校～職業訓練校での200日間～（２）,清家孝春,715,
28,小学館,ビッグ　コミックス夏目アラタの結婚（10）,乃木坂太郎,715,
28,小学館,ビッグ　コミックスらーめん再遊記（７）,久部緑郎／河合単ほか,715,
28,小学館,ビッグ　コミックスアタックシンドローム類（２）,吉沢潤一,715,
28,小学館,ビッグ　コミックスフールナイト（６）,安田佳澄,715,
28,小学館,ビッグ　コミックス正直不動産（17）,大谷アキラ／夏原武ほか,715,
28,小学館,ビッグ　コミックスJUMBO MAX（８）,高橋ツトム,715,
28,小学館,ビッグ　コミックス僕らはそれを越えてゆく～天彦野球部グラフィティー～（５）,中原裕／市田実,715,
28,小学館,ビッグ　コミックス卑弥呼　―真説・邪馬台国伝―（13）,リチャード・ウー／中村真理子,715,
28,小学館,ビッグ　コミックス前科者（13）,香川まさひと／月島冬二,715,
28,小学館,ビッグ　コミックス薔薇村へようこそ（２）,柴門ふみ,715,
28,小学館,ビッグ　コミックス風都探偵（14）,石ノ森章太郎／三条陸ほか,715,
28,小学館,ビッグ　コミックス〔スペシャル〕アニメ「風都探偵」公式ガイドブック,「風都探偵」製作委員会／石ノ森章太郎ほか,1386,
28,小学館,ビッグ　コミックス〔スペシャル〕劇光仮面（３）,山口貴由,800,
28,小学館,ビッグ　コミックス〔スペシャル〕絶滅動物物語（２）,うすくらふみ／今泉忠明,1298,
28,小学館,ビッグ　コミックス〔スペシャル〕テツぼん（33）,永松潔／高橋遠州,748,
7,スクウェア・エニックス,ガンガンコミックスUP！「攻略本」を駆使する最強の魔法使い　～〈命令させろ〉とは言わせない俺流魔王討伐最善ルート～（９）,福山松江（ＧＡノベル／ＳＢクリエイティブ刊）／舞嶋大ほか,730,
7,スクウェア・エニックス,ガンガンコミックスUP！最強の皇帝に叛逆したら懲役666年をくらった俺、追放先の精霊界で真の最強となって舞い戻る（１）,しやけ遊魚／渡ざらめほか,730,
7,スクウェア・エニックス,ガンガンコミックスUP！そうだ、売国しよう～天才王子の赤字国家再生術～（９）,鳥羽徹（ＧＡ文庫／ＳＢクリエイティブ）／栗元健太郎ほか,730,
7,スクウェア・エニックス,ガンガンコミックスUP！モンスターがあふれる世界になったので、好きに生きたいと思います（９）,よっしゃあっ！（ＧＡノベル／ＳＢクリエイティブ刊）／ラルサンほか,730,
7,スクウェア・エニックス,ガンガンコミックスUP！異世界転生で賢者になって冒険者生活　～【魔法改良】で異世界最強～（５）,進行諸島（ＧＡノベル／ＳＢクリエイティブ刊）／神名ゆゆほか,730,
7,スクウェア・エニックス,ガンガンコミックスUP！きれいな黒髪の高階さん（無職）と付き合うことになった（３）,森田季節（ＧＡ文庫／ＳＢクリエイティブ刊）／たかちひろなりほか,730,
7,スクウェア・エニックス,ガンガンコミックスUP！きれいな黒髪の高階さん（無職）と付き合うことになった（４・完完）,森田季節（ＧＡ文庫／ＳＢクリエイティブ刊）／たかちひろなりほか,730,
7,スクウェア・エニックス,ガンガンコミックスUP！才能〈ギフト〉がなくても冒険者になれますか？　ゼロから始まる『成長』チート（４）,かたなかじ／山中樹ほか,730,
7,スクウェア・エニックス,ガンガンコミックスUP！こだぬきと領主さまの物語　～女神さまの御座す国～（コミック・完１）,雨宮とうり／玖珂つかさほか,730,
7,スクウェア・エニックス,ガンガンコミックスUP！魔物を従える“帝印”を持つ転生賢者　～かつての魔法と従魔でひっそり最強の冒険者になる～（６）,苗原一／ＤｉｅｅｐＺｅｅほか,730,
7,スクウェア・エニックス,ガンガンコミックスUP！その劣等騎士、レベル999（８）,白石新（ＧＡ文庫／ＳＢクリエイティブ刊）／山﨑千裕ほか,730,
7,スクウェア・エニックス,ガンガンコミックスUP！龍に恋う　贄の乙女の幸福な身の上（４）,道草家守（富士見Ｌ文庫／ＫＡＤＯＫＡＷＡ刊）／ゆきじるしほか,730,
7,スクウェア・エニックス,ガンガンコミックスUP！栽培チートで最強菜園～え、ただの家庭菜園ですけど？～（３）,九頭七尾（ＧＡ文庫／ＳＢクリエイティブ刊）／涼ほか,730,
7,スクウェア・エニックス,ガンガンコミックスUP！逃がした魚は大きかったが釣りあげた魚が大きすぎた件（コミック・完３）,ももよ万葉／三登いつきほか,730,
