発売日,出版社,シリーズ名・書名,著者,予価,
1,KADOKAWA,B’s-LOG COMICS大公妃候補だけど、堅実に行こうと思います（５）,渡まかな／瀬尾優梨ほか,737,
1,KADOKAWA,B’s-LOG COMICSかくりよの宿飯　あやかしお宿に嫁入りします。（９）,衣丘わこ／友麻碧ほか,737,
1,KADOKAWA,B’s-LOG COMICS最強の鑑定士って誰のこと？　～満腹ごはんで異世界生活～（８）,不二原理夏／港瀬つかさほか,737,
1,KADOKAWA,B’s-LOG COMICSアルバート家の令嬢は没落をご所望です（５）,彩月つかさ／さきほか,737,
1,KADOKAWA,B’s-LOG COMICS31番目のお妃様（５）,七輝翼／桃巴ほか,737,
1,KADOKAWA,B’s-LOG COMICS追放された元令嬢、森で拾った皇子に溺愛され聖女に目覚める（１）,すずむし／もよりやほか,737,
1,KADOKAWA,あすかコミックスCL-DX鉄仮面な後輩,０等,770,
3,KADOKAWA,MFCネタキャラ仮プレイのつもりが異世界召喚（６）,芹之由奈／シンギョウガクほか,748,
3,KADOKAWA,ヒューコミックスPOISONER（１）,久保壱号,748,
3,KADOKAWA,単行本コミックスCLAMP PREMIUM COLLECTION X（４）,ＣＬＡＭＰ,770,
3,KADOKAWA,単行本コミックスCLAMP PREMIUM COLLECTION X（５）,ＣＬＡＭＰ,770,
4,KADOKAWA,角川コミックス・エース2.5次元の推しがクラスメイトになりました！？（２）,つくしろ夕莉,726,
4,KADOKAWA,角川コミックス・エースFate/stay night [Heaven’s Feel]（10）,タスクオーナ／ＴＹＰＥ－ＭＯＯＮ,726,
4,KADOKAWA,角川コミックス・エース現代でモンスター駆除業者をやってたら社長が赤字をなんとかするために無理をしたせいで社員のほとんどが死んだからずっと一人で仕事をしてたら凄いことになりました（２）,染野静也／ｇｕｌｕほか,726,
4,KADOKAWA,角川コミックス・エース有害超獣（２）,Ｎｙｋｋｅｎ／Ｔｏｙ（ｅ）,726,
4,KADOKAWA,角川コミックス・エース神獣の執刀医（１）,出口景／水水水水水,726,
4,KADOKAWA,角川コミックス・エーススーパーカブ（８）,蟹丹／トネ・コーケンほか,726,
4,KADOKAWA,角川コミックス・エースこの本を盗む者は（３）,深緑野分／空カケル,726,
5,KADOKAWA,フロース　コミック公爵夫人の50のお茶レシピ（４）,Ａｎｔｓｔｕｄｉｏ／Ｌｅｅ　Ｊｉｈａ,未定,
5,KADOKAWA,フロース　コミック小動物系令嬢は氷の王子に溺愛される（３）,佐和井ムギ／翡翠ほか,未定,
5,KADOKAWA,フロース　コミックきまじめ令嬢ですが、王女様（仮）になりまして！？　訳アリ花嫁の憂うつな災難（１）,かのえゆうし／伊藤たつきほか,未定,
5,KADOKAWA,フロース　コミック二度目の異世界、少年だった彼は年上騎士になり溺愛してくる（３）,綾月もか／琴子,748,
5,KADOKAWA,フロース　コミック身代わりの花嫁は、不器用な辺境伯に溺愛される（２）,一ノ瀬かおる／椎名さえらほか,未定,
5,KADOKAWA,フロース　コミックある日、私は冷血公爵の娘になった（５）,Ｃｏｔｔｏｎ／Ｓｉｙａ,未定,
5,KADOKAWA,フロース　コミック怪物公爵と契約公女（３）,ＭｉｎＪａｋｋ／Ｌｉａｒａｎ,未定,
5,KADOKAWA,フロース　コミックお酒のために乙女ゲー設定をぶち壊した結果、悪役令嬢がチート令嬢になりました（６）,永緒ウカ／ゆなかほか,未定,
5,KADOKAWA,フロース　コミック転生令嬢はご隠居生活を送りたい！　王太子殿下との婚約はご遠慮させていただきたく（２）,冨月一乃／雨宮れんほか,未定,
5,KADOKAWA,フロース　コミック悪役令嬢に転生失敗して勝ちヒロインになってしまいました３～悪役令嬢の兄との家族エンドを諦めて恋人エンドを目指します～,御守リツヒロ／柚原テイル,未定,
5,KADOKAWA,フロース　コミック神招きの庭（２）,鴻野ひと／奥乃桜子ほか,未定,
6,KADOKAWA,ヴァンプコミックス生まれ変わったら貞操逆転世界（１）,相川たつき／遼魔,未定,
6,KADOKAWA,ヴァンプコミックスモンスターセラピー！　カラダの悩み、この子たちにお任せください（１）,月曜休み。／峰崎龍之介ほか,未定,
7,KADOKAWA,BRIDGE COMICS薔薇守護者,Ｃａｕｓｔｉｃｓｏｄａ,未定,
7,KADOKAWA,BRIDGE COMICS29時の朝ごはん～味噌汁屋あさげ～（３）,佐倉イサミ,未定,
7,KADOKAWA,ドラゴンコミックスエイジ乙女ゲー世界はモブに厳しい世界です（10）,潮里潤／三嶋与夢ほか,未定,
7,KADOKAWA,ドラゴンコミックスエイジ乙女ゲー幼稚園はモブに厳しい幼稚園です（１）,近江のこ／三嶋与夢ほか,未定,
7,KADOKAWA,ドラゴンコミックスエイジ転校先の清楚可憐な美少女が、昔男子と思って一緒に遊んだ幼馴染だった件（３）,大山樹奈／雲雀湯ほか,未定,
7,KADOKAWA,ドラゴンコミックスエイジ僕のカノジョ先生（９）,星河蟹／孟倫（ＳＤｗｉｎｇ）ほか,未定,
7,KADOKAWA,ドラゴンコミックスエイジちゃんと吸えない吸血鬼ちゃん（４）,二式恭介,未定,
7,KADOKAWA,ドラゴンコミックスエイジ軍オタが魔法世界に転生したら、現代兵器で軍隊ハーレムを作っちゃいました！？（15）,止田卓史／明鏡シスイほか,未定,
7,KADOKAWA,ドラゴンコミックスエイジ君は喧し閉じてよ口を！（２）,森田俊平／アルデヒド,未定,
