出版社,発売日,シリーズ名・書名,著者,予価,
KADOKAWA,5,ヴァンプコミックス,ダンジョンが思ったよりも深くてどうしようもないので諦めて女の子を口説いていくことにした（２）,ｆｅｉｒｅｎ／みざほか,未定,
KADOKAWA,5,フロース　コミック,復讐を誓った白猫は竜王の膝の上で惰眠をむさぼる（４）,あき／クレハほか,未定,
KADOKAWA,5,フロース　コミック,義妹が聖女だからと婚約破棄されましたが、私は妖精の愛し子です（１）,冬芽沙也／桜井ゆきなほか,715,
KADOKAWA,5,フロース　コミック,レディローズは平民になりたい（６）,こおりあめ／ひだかなみほか,715,
KADOKAWA,5,フロース　コミック,末っ子皇女殿下（２）,Ｓｔｏｎｅｈｅａｄ（ＡＫＥＯ　ＳＴＵＤＩＯ）／ＳＡＨＡ,1034,
KADOKAWA,5,フロース　コミック,神力の薬師（転生後）は、戦国武将と結婚を前提に初恋します！（２）,高嶋育,未定,
KADOKAWA,5,フロース　コミック,大獣公とユニコニスの乙女（１）,杉町のこ／柚原テイル,715,
KADOKAWA,5,フロース　コミック,イケメンメイドは悪役令嬢を救う（１）,夕木有,未定,
KADOKAWA,5,フロース　コミック,異世界から聖女が来るようなので、邪魔者は消えようと思います（４）,ばち／蓮水涼ほか,715,
KADOKAWA,5,フロース　コミック,捨てられた皇妃（８）,ｉＮＡ／Ｙｕｎａ,1034,
KADOKAWA,5,フロース　コミック,皇帝の一人娘（12）,ＲＩＮＯ／ＹＵＮＳＵＬ,1034,
KADOKAWA,5,フロース　コミック,怪物公爵と契約公女（２）,Ｍｉｎｊａｋｋ／Ｌｉａｒａｎ,1034,
KADOKAWA,5,フロース　コミック,108回殺された悪役令嬢（３）　すべてを思い出したので、乙女はルビーでキセキします,鳥生ちのり／なまくらほか,715,
KADOKAWA,5,フロース　コミック,私この度、王国騎士団独身寮の家政婦をすることになりました（７）,赤羽にな／如月美樹ほか,未定,
KADOKAWA,5,フロース　コミック,身代わりの花嫁は、不器用な辺境伯に溺愛される（１）,一ノ瀬かおる／椎名さえらほか,未定,
KADOKAWA,5,フロース　コミック,悪役令嬢の追放後！　教会改革ごはんで悠々シスター暮らし（７）,吉村旋／柚原テイル,715,
KADOKAWA,5,フロース　コミック,悪役のエンディングは死のみ（２）,ＳＵＯＬ／Ｇｗｏｎ　Ｇｙｅｏｅｕｌ,1034,
KADOKAWA,8,BRIDGE COMICS,弁当屋さんのおもてなし（２）,十峯なるせ／喜多みどり,未定,
KADOKAWA,8,BRIDGE COMICS,29時の朝ごはん～味噌汁屋あさげ～（２）,佐倉イサミ,未定,
KADOKAWA,8,BRIDGE COMICS,雪花妃伝　～藍帝後宮始末記～（２）,瀬田一乃／都月きく音ほか,未定,
KADOKAWA,8,単行本コミックス,D4DJ ―The story of Happy Around！―（２）,倉崎もろこ／ブシロード,未定,
KADOKAWA,8,単行本コミックス,D4DJ ―4コマmix！― VOLUME 2,しろくま／ブシロード,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,トリアージX（25）,佐藤ショウジ,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,没落予定なので、鍛冶職人を目指す（11）,石田彩／ＣＫほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,デスマーチからはじまる異世界幸腹曲（１）,つむみ／愛七ひろほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,デスマーチからはじまる異世界狂想曲（14）,あやめぐむ／愛七ひろほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,美人女上司滝沢さん（６）,やんＢＡＲＵ,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,世界を救うために亜人と朝チュンできますか？（６）,音井れこ丸,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,黒ギャルさんが来る！（３）,いつむ,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,魔術師たちの混乱（２）,奇仙,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,四姉妹は夜をおまちかね（２）,Ｂｃｏｃａ／保住圭,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,ゲーム　オブ　ファミリア　―家族戦記―（９）,山口ミコト／Ｄ．Ｐ,未定,
KADOKAWA,10,ハルタコミックス,ダンジョン飯（12）,九井諒子,未定,
KADOKAWA,10,角川コミックス・エース,異世界建国記（８）,ＫＯＩＺＵＭＩ／桜木桜ほか,未定,
KADOKAWA,10,角川コミックス・エース,回復術士のおもてなし（２）,月夜涙／長尾件ほか,未定,
KADOKAWA,10,角川コミックス・エース,年上エリート女騎士が僕の前でだけ可愛い（４）,たかた／吉野宗助ほか,未定,
KADOKAWA,10,角川コミックス・エース,回復術士のやり直し（11）,月夜涙／羽賀ソウケンほか,未定,
KADOKAWA,10,角川コミックス・エース,カレとカノジョの選択（４）,緒原博綺,未定,
KADOKAWA,10,角川コミックス・エース,スキルがなければレベルを上げる（４）　～99がカンストの世界でレベル800万からスタート～,岡沢六十四／倉橋ユウス,704,
KADOKAWA,10,角川コミックス・エース,隣のクーデレラを甘やかしたら、ウチの合鍵を渡すことになった（１）,雪仁／かがちさくほか,704,
KADOKAWA,10,角川コミックス・エース,魔女ノ結婚（２）,ｓｔｕｄｉｏ　ＨＥＡＤＬＩＮＥ,未定,
KADOKAWA,10,角川コミックス・エース,龍空のエイシズ（２）,かたやままこと,未定,
KADOKAWA,10,角川コミックス・エース,しゃしゃごもり（１）,さわむらリョウ,704,
KADOKAWA,10,単行本コミックス,鍋に弾丸を受けながら（２）,青木潤太朗／森山慎,未定,
KADOKAWA,12,B’s-LOVEY COMICS,明日、最初に感じる香りはきみがいい,ＤＡＤＡ,770,
KADOKAWA,12,ハルタコミックス,虎は龍をまだ喰べない。（１）,一七八ハチ,未定,
KADOKAWA,12,ハルタコミックス,クプルムの花嫁（３）,ｎａｍｏ,未定,
KADOKAWA,12,ハルタコミックス,シャッター街のさくら姫（１）,宮本伶美,未定,
