出版社,発売日,シリーズ名・書名,著者,予価,
秋田書店,6,少年チャンピオン・コミックス,魔入りました！入間くん（29）,西修,528,
秋田書店,6,少年チャンピオン・コミックス,魔界の主役は我々だ！（11）,津田沼篤／西修ほか,528,
秋田書店,6,少年チャンピオン・コミックス,もういっぽん！（20）,村岡ユウ,528,
秋田書店,6,少年チャンピオン・コミックス,SHY（16）,実樹ぶきみ,528,
秋田書店,6,少年チャンピオン・コミックス,弱虫ペダル（80）,渡辺航,528,
秋田書店,6,少年チャンピオン・コミックス,ナインピークス　NINE PEAKS（１）,平川哲弘,528,
秋田書店,6,少年チャンピオン・コミックス,織田家の長男に生まれました　～戦国時代に転生したけど、死にたくないので改革を起こします～（１）,大沼田伊勢彦／逸見兎歌ほか,693,
秋田書店,6,少年チャンピオン・コミックス,金四郎の妻ですが（１）,神楽坂淳／迫ミサキ,693,
秋田書店,6,少年チャンピオン・コミックス,斎藤義龍に生まれ変わったので、織田信長に国譲りして長生きするのを目指します！（１）,巽未頼／田村ゆうきほか,693,
秋田書店,6,少年チャンピオン・コミックス,きみのご冥福なんていのらない（４）,松尾あき,693,
秋田書店,6,少年チャンピオン・コミックス,チーム・フェニックス（３）,手塚治虫／ケニー・ルイス,748,
秋田書店,6,少年チャンピオン・コミックス,Diego！！　～神と呼ばれた男の新たなる挑戦～（３）,灰谷音屋,693,
秋田書店,6,少年チャンピオン・コミックス,ジーニアース（５・完）,押切蓮介,528,
秋田書店,6,少年チャンピオン・コミックス・エクストラ,Lost Children（９）,隅山巴文,880,
秋田書店,6,少年チャンピオン・コミックス・タップ！,おひ釣りさま（９）,とうじたつや,693,
秋田書店,14,A.L.C.DX,しあわせは食べて寝て待て（３）,水凪トリ,748,
秋田書店,14,A.L.C.DX,ムーちゃんと手をつないで　～自閉症の娘が教えてくれたこと～（６）,みなと鈴,748,
秋田書店,14,A.L.C.DX,朝子のムジカ！！（１）,和田フミ江,748,
秋田書店,14,MIU恋愛MAXCOMICS,Ω令嬢、情欲の檻　～大正絢爛オメガバース～（１）,菫野さとみ,748,
秋田書店,14,プリンセス・コミックス,僕らの千年と君が死ぬまでの30日間（２）,ｎａｋｅｄ　ａｐｅ／僕らの千年プロジェクト,660,
秋田書店,14,プリンセス・コミックス,薔薇王の葬列　王妃と薔薇の騎士（１）,菅野文,550,
秋田書店,14,プリンセス・コミックス,茉莉花官吏伝　～後宮女官、気まぐれ皇帝に見初められ～（６）,石田リンネ／高瀬わか,660,
秋田書店,14,プリンセス・コミックス,華仙公主夜話　その麗人、後宮の闇を斬る（４）,喜咲冬子／みなもと悠,660,
秋田書店,14,プリンセス・コミックス,新装版　スケバン刑事if,和田慎二,1080,
秋田書店,14,ボニータ・コミックス,9番目のムサシ ゴースト アンド グレイ（９）,髙橋美由紀,660,
秋田書店,14,ボニータ・コミックス,天上恋歌　～金の皇女と火の薬師～（６）,青木朋,660,
秋田書店,14,酒井美羽の少女まんが戦記（１）,酒井美羽,1200,
秋田書店,20,チャンピオンREDコミックス,エコエコアザラクREBORN（４）,古賀新一／山田Ｊ太,693,
秋田書店,20,チャンピオンREDコミックス,はるかリセット（６）,野上武志,693,
秋田書店,20,チャンピオンREDコミックス,科学的に存在しうるクリーチャー娘の観察日誌（11）,ＫＡＫＥＲＵ,693,
秋田書店,20,チャンピオンREDコミックス,織津江大志の異世界クリ娘サバイバル日誌（５）,ＫＡＫＥＲＵ／瀬口たかひろ,693,
秋田書店,20,チャンピオンREDコミックス,神呪のネクタール（14）,佐藤健悦／吉野弘幸,693,
秋田書店,20,ヤングチャンピオン・コミックス,採取はゲームの基本です！！　～採取道具でだって戦えます～（１）,一色遥／拓,693,
秋田書店,20,ヤングチャンピオン・コミックス,落日のパトス（13）,艶々,693,
秋田書店,20,ヤングチャンピオン・コミックス,黄昏のエトス（３）,艶々,693,
