出版社,発売日,シリーズ名・書名,著者,予価,
秋田書店,5,少年チャンピオン・コミックス,気絶勇者と暗殺姫（5）,のりしろちゃん／雪田幸路,550,
秋田書店,5,少年チャンピオン・コミックス,弱虫ペダル（87）,渡辺航,561,
秋田書店,5,少年チャンピオン・コミックス,弱虫ペダル SPARE BIKE（13）,渡辺航,594,
秋田書店,5,少年チャンピオン・コミックス,BLUE DOT（4）（完）,堀翔一,550,
秋田書店,5,少年チャンピオン・コミックス,あっぱれ！浦安鉄筋家族（18）,浜岡賢次,550,
秋田書店,5,少年チャンピオン・コミックス,SANDA（12）,板垣巴留,550,
秋田書店,5,少年チャンピオン・コミックス,僕が恋するコズミックスター（2）,縁山,550,
秋田書店,5,少年チャンピオン・コミックス,あつまれ！ふしぎ研究部（18）,安部真弘,550,
秋田書店,5,少年チャンピオン・コミックス,桃源暗鬼（18）,漆原侑来,561,
秋田書店,5,少年チャンピオン・コミックス,ダーウィンズゲーム（30）（完）,FLIPFLOPs,600,
秋田書店,5,少年チャンピオン・コミックス,「おかえり、パパ」（2）,蝉丸,726,
秋田書店,5,少年チャンピオン・コミックス,ナメ。（2）,林あらた,693,
秋田書店,5,少年チャンピオン・コミックス,キミに恋する三姉妹（1）,saku,726,
秋田書店,5,少年チャンピオン・コミックス,幼馴染のお姫様（4）（完）,9℃,726,
秋田書店,5,少年チャンピオン・コミックス,京四郎 少年ヤクザ編（1）,樋田和彦,726,
秋田書店,5,少年チャンピオン・コミックス,サイコ×パスト 猟奇殺人潜入捜査（6）,本田真吾,726,
秋田書店,5,少年チャンピオン・コミックス,WORST外伝 ゼットン先生（11）,髙橋ヒロシ／鈴木大ほか,726,
秋田書店,5,少年チャンピオン・コミックス,WORST外伝 サブロクサンタ 名もなきカラスたち（6）,髙橋ヒロシ／キタハラタケヨほか,726,
秋田書店,5,少年チャンピオン・コミックス・エクストラ,WORST外伝 グリコ（25）,髙橋ヒロシ／鈴木リュータ,726,
秋田書店,5,少年チャンピオン・コミックス・エクストラ,あの子のおっぱいからどうにも目がはなせないアンソロジーコミック（7）,月刊少年チャンピオン編集部,770,
秋田書店,5,少年チャンピオン・コミックス・タップ！,おひ釣りさま（11）,とうじたつや,726,
秋田書店,16,プリンセス・コミックス,きみがローファーをはいたら（2）,大島永遠,726,
秋田書店,16,プリンセス・コミックスDX カチCOMI,スタジオ横、色恋付き1LDK,河飯じろう,770,
秋田書店,16,ボニータ・コミックス,炎の蜃気楼R（8）,桑原水菜／浜田翔子,693,
秋田書店,16,ボニータ・コミックス,魔女の箱庭（2）（完）,紫堂恭子,693,
秋田書店,16,ボニータ・コミックス,P.As.（4）,赤石路代,693,
秋田書店,16,A.L.C.DX,貼りまわれ！こいぬ（5）,うかうか,1100,
秋田書店,16,A.L.C.DX,朝子のムジカ！！（3）（完）,和田フミ江,900,
秋田書店,16,A.L.C.DX,上手に生かれました Life with flowers（2）,蒼星きまま,900,
秋田書店,16,A.L.C.DX,居るのはつらいよ ケアとセラピーについての覚書（3）（完）,東畑開人／いぬゐのこ,990,
秋田書店,16,MIU恋愛MAXCOMICS,三人婚 ～あざと男子と無愛想オオカミが激しすぎて身が持ちません！！～,秋元奈美,900,
秋田書店,18,チャンピオンREDコミックス,ストラグリング・ガールズ～一発逆転の頭脳決戦～（2）,青山広美／さくらうめ,726,
秋田書店,18,チャンピオンREDコミックス,不安の種＊ アスタリスク（7）,中山昌亮,693,
秋田書店,18,チャンピオンREDコミックス,DEAD Tube～デッドチューブ～（23）,山口ミコト／北河トウタ,726,
秋田書店,18,チャンピオンREDコミックス,聖闘士星矢 冥王異伝 ダークウィング（5）,車田正美／サイトウケンジほか,726,
秋田書店,18,チャンピオンREDコミックス,メイドさんは吸血鬼（3）（完）,やすしげ,880,
秋田書店,18,ヤングチャンピオン・コミックス,新・エルフさんは痩せられない。（3）,シネクドキ,726,
秋田書店,18,ヤングチャンピオン・コミックス,松かげに憩う（4）,雨瀬シオリ,792,
秋田書店,18,ヤングチャンピオン・コミックス,落日のパトス（15）,艶々,726,
秋田書店,18,ヤングチャンピオン・コミックス,若気の至りまくり、夏。（5）,葉月京,693,
秋田書店,18,ヤングチャンピオン・コミックス,優駿の門 ムンク（5）,やまさき拓味,1320,
秋田書店,18,ヤングチャンピオン・コミックス,凍牌 コールドガール（6）,志名坂高次,726,
秋田書店,18,ヤングチャンピオン・コミックス,地政学ボーイズ ～国がサラリーマンになって働く会社～（4）,理央／沢辺有司,825,
秋田書店,18,ヤングチャンピオン・コミックス,極殺道 グレゴール―（2）,鈴木大,693,
秋田書店,18,ヤングチャンピオン・コミックス,スカベンジャーズアナザースカイ（2）,古部亮,726,
秋田書店,18,ヤングチャンピオン烈コミックス,性食鬼（19）,稲光伸二,715,
秋田書店,26,ヤングチャンピオン・コミックス,我にチートを ～ハズレチートの召喚勇者は異世界でゆっくり暮らしたい～（8）,温泉卵／山田モジ美,693,
秋田書店,26,ヤングチャンピオン・コミックス,追放されるたびにスキルを手に入れた俺が、100の異世界で2周目無双（2）,日之浦拓／仁森島司ほか,770,
秋田書店,26,ヤングチャンピオン・コミックス,片田舎のおっさん、剣聖になる ～ただの田舎の剣術師範だったのに、大成した弟子たちが俺を放ってくれない件～（5）,佐賀崎しげる／鍋島テツヒロほか,726,
秋田書店,26,ヤングチャンピオン・コミックス,異世界帰りのアラフォーリーマン、17歳の頃に戻って無双する（3）,遊野優矢／ミミダほか,748,
秋田書店,26,ヤングチャンピオン・コミックス,転生荷運び人の異世界攻略法（1）,小海太郎／ハヤシ,748,
秋田書店,26,ヤングチャンピオン・コミックス,最低ランクの冒険者、勇者少女を育てる ～俺って数合わせのおっさんじゃなかったか？～（1）,農民ヤズー／津保昭博ほか,770,
KADOKAWA,5,フロース コミック,重装令嬢モアネット（1）,nishi／さきほか,748,
KADOKAWA,6,BRIDGE COMICS,三島屋変調百物語（2）,宮本福助／宮部みゆき,未定,
KADOKAWA,6,BRIDGE COMICS,わたしの処女をもらってもらったその後。（2）,ぴらにあ。／高岡未来,未定,
KADOKAWA,6,BRIDGE COMICS,お茶の間スイーツガーデン（1）,佐倉イサミ,未定,
KADOKAWA,6,BRIDGE COMICS,DOG SIGNAL よりぬき版,みやうち沙矢,未定,
KADOKAWA,6,ヴァンプコミックス,幼馴染は闇堕ち聖女！（2）,ショーソン／きー子ほか,未定,
KADOKAWA,6,ヴァンプコミックス,セックス・ファンタジー（4）,maco／鏡遊ほか,未定,
KADOKAWA,6,単行本コミックス,ブルーアーカイブ 便利屋68業務日誌（2）,野際かえで／ブルーアーカイブ,未定,
KADOKAWA,6,フロース コミック,ある日、お姫様になってしまった件について（8）,Spoon／Plutus,1078,
KADOKAWA,6,フロース コミック,二度目の異世界、少年だった彼は年上騎士になり溺愛してくる（4）,綾月もか／琴子,748,
KADOKAWA,6,フロース コミック,後宮妃の管理人（7）,廣本シヲリ／しきみ彰ほか,未定,
KADOKAWA,6,フロース コミック,悪女は砂時計をひっくり返す（5）,Antstudio／SANSOBEE,1078,
KADOKAWA,6,フロース コミック,公爵家のメイドに憑依しました（8）,Aloha／Jooahri,1078,
KADOKAWA,6,フロース コミック,傾国悪女のやり直し王女譚（1） 騎士団長が不器用で離れません,絢瀬マコト／柚原テイルほか,748,
KADOKAWA,9,ドラゴンコミックスエイジ,黒猫ニャンゴの冒険（2） レア属性を引き当てたので、気ままな冒険者を目指します,篠浦知螺／佐藤夕子ほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,伝説の俺（1）,マサイ／わた・るぅーほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,じつは義妹でした。～最近できた義理の弟の距離感がやたら近いわけ～（3）,堺しょうきち／白井ムクほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,俺以外誰も採取できない素材なのに「素材採取率が低い」とパワハラする幼馴染錬金術師と絶縁した専属魔導士、辺境の町でスローライフを送りたい。（1）,狐御前／西岡知三ほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,商社マンの異世界サバイバル（6） ～絶対人とはつるまねえ～,餡乃雲／五條さやかほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,監禁王（4）,あしもと☆よいか／マサイほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,魔石グルメ（9） 魔物の力を食べたオレは最強！,結城涼／菅原健二ほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,断頭台の花嫁（1） 世界を滅ぼすふつつかな竜姫ですが。,紫大悟／しばかめほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,ポンコツお嬢様と陰キャ世話係（1）,野愛におし,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,くノ一桃果食べごろです？（1）,こんちき,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,残念女幹部ブラックジェネラルさん（11）,jin,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,恋するビジネスカップル配信者,さるぴん,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,継母の連れ子が元カノだった（7）,紙城境介／草壁レイほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,ようこそ『追放者ギルド』へ ～無能なSランクパーティがどんどん有能な冒険者を追放するので、最弱を集めて最強ギルドを創ります～（4）,メソポ・たみあ／荒木佑輔ほか,未定,
KADOKAWA,9,電撃コミックスNEXT,Happy▽Table はらぺこガールは満たされたい！（1）,小野ミサオ／月見秋水ほか,759,
KADOKAWA,9,電撃コミックスNEXT,ソードアート・オンライン Re:Aincrad（3）,樹深／佐藤ミトほか,759,
KADOKAWA,10,角川コミックス・エース,お見合いしたくなかったので、無理難題な条件をつけたら同級生が来た件について（2）,御幸つぐはる／桜木桜ほか,未定,
KADOKAWA,10,角川コミックス・エース,彼岸のオルカ（2）,STUDIO koemee／うごんば,未定,
KADOKAWA,10,角川コミックス・エース,家が燃えて人生どうでも良くなったから、残ったなけなしの金でダークエルフの奴隷を買った。（4）,ユズリハ／陸奥こはるほか,未定,
KADOKAWA,10,角川コミックス・エース,転生少女の履歴書（3）,唐澤和希／藤本れもちほか,未定,
KADOKAWA,10,角川コミックス・エース,ATRI My Dear Moments―（2）,じゃこ／ANIPLEX.EXE,未定,
KADOKAWA,10,角川コミックス・エース,MELTY BLOOD：TYPE LUMINA Piece in Paradise（1）,めたろぐ／TYPE-MOON,未定,
KADOKAWA,10,角川コミックス・エース,サキュバスぷろでゅ～す（1）,レフトハンド,未定,
KADOKAWA,10,角川コミックス・エース,国民的アイドルになった幼馴染みが、ボロアパートに住んでる俺の隣に引っ越してきた件（2）,あかりりゅりゅ羽／榊原モンショー,未定,
KADOKAWA,10,角川コミックス・エース,明日もまた勇者のとなり（2）,梶井スパナ,未定,
KADOKAWA,10,角川コミックス・エース,咎人の刻印（3）,蒼月海里／藤丸豆ノ介ほか,未定,
KADOKAWA,12,ビームコミックス,偶像エスケープ（上）,吉良いと,未定,
KADOKAWA,12,ビームコミックス,偶像エスケープ（下）,吉良いと,未定,
KADOKAWA,12,ビームコミックス,SPUNK スパンク！―（3）,新井英樹／鏡ゆみこ,未定,
KADOKAWA,12,ビームコミックス,大蛇に嫁いだ娘（5）,フシアシクモ,未定,
KADOKAWA,12,ビームコミックス,下北沢バックヤードストーリー（3）,西尾雄太,未定,
KADOKAWA,12,ビームコミックス,ひとりと話すので精一杯,さんけ,未定,
KADOKAWA,15,PommeComics,異世界行ったら私の職業『野生児』だった（2）,mucco／堂本葉知子ほか,748,
KADOKAWA,15,B's-LOVEY COMICS,夜の帳が上がらない,ばせう,未定,
KADOKAWA,15,B's-LOVEY COMICS,アンチ・アイデンティティ,沢マチコ,未定,
KADOKAWA,15,単行本コミックス,雨傘さんちの日日（1）,前田とも,未定,
KADOKAWA,15,単行本コミックス,この恋を星には願わない（2）,紫のあ,未定,
KADOKAWA,15,ジーンLINE,君ノ声（6）,森永ミク,726,
KADOKAWA,15,ジーンLINE,やぶさかではございません（3）,Marita,726,
KADOKAWA,15,ハルタコミックス,魔女のエデン（1）,ゆめじ,未定,
KADOKAWA,15,ハルタコミックス,魔女のエデン（2）,ゆめじ,未定,
KADOKAWA,15,ハルタコミックス,ハクメイとミコチ（12）,樫木祐人,792,
KADOKAWA,15,ハルタコミックス,夜の名前を呼んで（5）,三星たま,未定,
KADOKAWA,15,ハルタコミックス,ジラソウル ゴッホの遥かなる道―（2）,沼野あおい,未定,
KADOKAWA,15,ハルタコミックス,九井諒子ラクガキ本 デイドリーム・アワー,九井諒子,未定,
KADOKAWA,17,PommeComics,悪役令嬢レディ・フィリア・デ・ラ・ローヴェの失敗（1）,くろみさ／文武らんほか,未定,
