出版社,発売日,シリーズ名・書名,著者,予価,
秋田書店,6,少年チャンピオン・コミックス,魔入りました！入間くん（33）,西修,561,
秋田書店,6,少年チャンピオン・コミックス,もういっぽん！（24）,村岡ユウ,550,
秋田書店,6,少年チャンピオン・コミックス,BREAK BACK（16）,KASA,550,
秋田書店,6,少年チャンピオン・コミックス,SANDA（9）,板垣巴留,550,
秋田書店,6,少年チャンピオン・コミックス,ヤンキーJKクズハナちゃん（17）,宗我部としのり,550,
秋田書店,6,少年チャンピオン・コミックス,ナインピークス NINE PEAKS（5）,平川哲弘,550,
秋田書店,6,少年チャンピオン・コミックス,織田家の長男に生まれました ～戦国時代に転生したけど、死にたくないので改革を起こします～（3）,大沼田伊勢彦／逸見兎歌ほか,726,
秋田書店,6,少年チャンピオン・コミックス,斎藤義龍に生まれ変わったので、織田信長に国譲りして長生きするのを目指します！（3）,巽未頼／田村ゆうきほか,726,
秋田書店,6,少年チャンピオン・コミックス,メイカさんは押しころせない（12）（完）,佐藤ショーキ,726,
秋田書店,6,少年チャンピオン・コミックス,ナメ。（1）,林あらた,693,
秋田書店,6,少年チャンピオン・コミックス,声がだせない少女は「彼女が優しすぎる」と思っている（11）,矢村いち,726,
秋田書店,6,少年チャンピオン・コミックス,ババンババンバンバンパイア（5）,奥嶋ひろまさ,726,
秋田書店,6,少年チャンピオン・コミックス,幼馴染のお姫様（2）,9℃,726,
秋田書店,6,少年チャンピオン・コミックス,漫画 ゆうえんち バキ外伝―（3）,板垣恵介／夢枕獏ほか,726,
秋田書店,6,少年チャンピオン・コミックス,八月のシンデレラナインS（4）,星野倖一郎／Akatsuki,726,
秋田書店,6,少年チャンピオン・コミックス,不死と罰（4）,佐藤健太郎,726,
秋田書店,6,少年チャンピオン・コミックス・エクストラ,WORST外伝 ドクロ（13）,髙橋ヒロシ／きだまさし,726,
秋田書店,13,A.L.C.DX,いのちの器（91）,上原きみ子,650,
秋田書店,13,A.L.C.DX,上手に生かれました Life with flowers（1）,蒼星きまま,748,
秋田書店,13,MIU恋愛MAXCOMICS,空までイっちゃう ～CAは絶倫パイロットの腕の中～ フライト（4）,吉沢りょう,748,
秋田書店,13,プリンセス・コミックス,十三歳の誕生日、皇后になりました。（5）,石田リンネ／青井みと,693,
