出版社,発売日,シリーズ名・書名,著者,予価,
秋田書店,8,少年チャンピオン・コミックス,もういっぽん！（22）,村岡ユウ,550,
秋田書店,8,少年チャンピオン・コミックス,あっぱれ！浦安鉄筋家族（15）,浜岡賢次,550,
秋田書店,8,少年チャンピオン・コミックス,SANDA（７）,板垣巴留,550,
秋田書店,8,少年チャンピオン・コミックス,「吸血鬼すぐ死ぬ」公式アンソロジー　新横浜で会いましょう（２）,盆ノ木至／ミステリーボニータ編集部,700,
秋田書店,8,少年チャンピオン・コミックス,吸血鬼すぐ死ぬ（24）,盆ノ木至,550,
秋田書店,8,少年チャンピオン・コミックス,バキ道（15）,板垣恵介,561,
秋田書店,8,少年チャンピオン・コミックス,はぐれ勇者の異世界バイブル　 ～異世界でえちえち漫画描いてたら、聖書遣いとして崇められている件について。～（４）,那珂山みちる,550,
秋田書店,8,少年チャンピオン・コミックス,弱虫ペダル（82）,渡辺航,561,
秋田書店,8,少年チャンピオン・コミックス,ナインピークス　NINE PEAKS（３）,平川哲弘,550,
秋田書店,8,少年チャンピオン・コミックス,天災狩り（１）,荒井春太郎,528,
秋田書店,8,少年チャンピオン・コミックス,織田家の長男に生まれました　～戦国時代に転生したけど、死にたくないので改革を起こします～（２）,大沼田伊勢彦／逸見兎歌ほか,726,
秋田書店,8,少年チャンピオン・コミックス,潮が舞い子が舞い（９）,阿部共実,693,
秋田書店,8,少年チャンピオン・コミックス,斎藤義龍に生まれ変わったので、織田信長に国譲りして長生きするのを目指します！（２）,巽未頼／田村ゆうきほか,726,
秋田書店,8,少年チャンピオン・コミックス,先輩は刑事パイ（４・完完）,サブリック,693,
秋田書店,8,少年チャンピオン・コミックス,漫画　ゆうえんち　―バキ外伝―（２）,板垣恵介／夢枕獏ほか,726,
秋田書店,8,少年チャンピオン・コミックス,不死と罰（３）,佐藤健太郎,693,
秋田書店,8,少年チャンピオン・コミックス・エクストラ,クローズ外伝　鳳仙花　the beginning of HOUSEN（15）,髙橋ヒロシ／齋藤周平,726,
秋田書店,16,MIU恋愛MAXCOMICS,Ω令嬢、情欲の檻　～大正絢爛オメガバース～（２）,菫野さとみ,748,
秋田書店,16,プリンセス・コミックス,緋色の呪文（４・完完）,藤田麻貴,693,
秋田書店,16,プリンセス・コミックスDX カチCOMI,Doctorぼくは恋する犬　～Dom/Subユニバース～,九尾かや,770,
秋田書店,16,ボニータ・コミックス,炎の蜃気楼R（６）,桑原水菜／浜田翔子,693,
秋田書店,16,ボニータ・コミックス,天幕のジャードゥーガル（２）,トマトスープ,693,
秋田書店,16,ボニータ・コミックス,海が走るエンドロール（４）,たらちねジョン,693,
秋田書店,16,,酒処　春來荘日乗（２）,丸岡九蔵,1200,
秋田書店,20,チャンピオンREDコミックス,DEAD Tube～デッドチューブ～（21）,山口ミコト／北河トウタ,726,
秋田書店,20,チャンピオンREDコミックス,はるかリセット（８）,野上武志,726,
秋田書店,20,チャンピオンREDコミックス,瞳ちゃんは人見知り（８）,夏海ちょりすけ,693,
秋田書店,20,ヤングチャンピオン・コミックス,運びの犬（８）,清水ヤスヲミ,693,
秋田書店,20,ヤングチャンピオン・コミックス,角栄に花束を（８）,大和田秀樹,726,
秋田書店,20,ヤングチャンピオン・コミックス,あさこ（６）,よしだもろへ,693,
秋田書店,20,ヤングチャンピオン・コミックス,Mr.CB（11）,綱本将也／谷嶋イサオ,726,
秋田書店,20,ヤングチャンピオン・コミックス,半グレ―六本木　摩天楼のレクイエム―（６）,草下シンヤ／山本隆一郎,715,
秋田書店,20,ヤングチャンピオン・コミックス,エルフさんは痩せられない。（７）,シネクドキ,792,
秋田書店,20,ヤングチャンピオン・コミックス,新・エルフさんは痩せられない。（２）,シネクドキ,726,
秋田書店,20,ヤングチャンピオン・コミックス,隠れ星は心を繋いで　～婚約を解消した後の、美味しいご飯と恋のお話～（２・完完）,花散ここ／もりのもみじ,726,
秋田書店,20,ヤングチャンピオン・コミックス,徳川おてんば姫　～最後の将軍のお姫さまとのゆかいな日常～（３）,井手久美子／西山優里子,693,
秋田書店,20,ヤングチャンピオン・コミックス,君に愛されて痛かった（１）,知るかバカうどん,847,
秋田書店,20,ヤングチャンピオン・コミックス,君に愛されて痛かった（２）,知るかバカうどん,847,
秋田書店,20,ヤングチャンピオン・コミックス,君に愛されて痛かった（３）,知るかバカうどん,847,
秋田書店,20,ヤングチャンピオン・コミックス,君に愛されて痛かった（４）,知るかバカうどん,847,
秋田書店,20,ヤングチャンピオン・コミックス,君に愛されて痛かった（５）,知るかバカうどん,847,
秋田書店,20,ヤングチャンピオン・コミックス,君に愛されて痛かった（６）,知るかバカうどん,748,
秋田書店,20,ヤングチャンピオン・コミックス,記憶喪失になったので、家族の中で一番信用できそうなお兄様を頼ることにしました（１）,別所燈／佐藤もぶ,726,
