出版社,発売日,シリーズ名・書名,著者,予価,
秋田書店,8,少年チャンピオン・コミックス,弱虫ペダル　SPARE BIKE（12）,渡辺航,594,
秋田書店,8,少年チャンピオン・コミックス,SHY（19）,実樹ぶきみ,550,
秋田書店,8,少年チャンピオン・コミックス,吸血鬼すぐ死ぬ（25）,盆ノ木至,550,
秋田書店,8,少年チャンピオン・コミックス,バキ道（16）,板垣恵介,561,
秋田書店,8,少年チャンピオン・コミックス,ヤンキーJKクズハナちゃん（16）,宗我部としのり,550,
秋田書店,8,少年チャンピオン・コミックス,ハリガネサービスACE（22）,荒達哉,550,
秋田書店,8,少年チャンピオン・コミックス,ナインピークス　NINE PEAKS（４）,平川哲弘,550,
秋田書店,8,少年チャンピオン・コミックス,擬態人A（４）,渡辺アカ,726,
秋田書店,8,少年チャンピオン・コミックス,「おかえり、パパ」（１）,蝉丸,726,
秋田書店,8,少年チャンピオン・コミックス,幼馴染のお姫様（１）,９℃,726,
秋田書店,8,少年チャンピオン・コミックス,WORST外伝　ゼットン先生（９）,髙橋ヒロシ／鈴木大ほか,726,
秋田書店,8,少年チャンピオン・コミックス,WORST外伝　サブロクサンタ　名もなきカラスたち（４）,髙橋ヒロシ／キタハラタケヨほか,726,
秋田書店,8,少年チャンピオン・コミックス・エクストラ,クローズ外伝　鳳仙花　the beginning of HOUSEN（16）,髙橋ヒロシ／齋藤周平,726,
秋田書店,8,少年チャンピオン・コミックス・エクストラ,WORST外伝　グリコ（22）,髙橋ヒロシ／鈴木リュータ,726,
秋田書店,8,少年チャンピオン・コミックス・エクストラ,WORST外伝　ドクロ（12）,髙橋ヒロシ／きだまさし,726,
秋田書店,8,少年チャンピオン・コミックス・エクストラ,聖闘士星矢　Final Edition（６）,車田正美,1280,
秋田書店,8,少年チャンピオン・コミックス・エクストラ,聖闘士星矢　Final Edition（７）,車田正美,1280,
秋田書店,16,A.L.C.DX,マダム、完全犯罪はお好きでしょう？（３）,石井まゆみ,748,
秋田書店,16,A.L.C.DX,ナースのチカラ　～私たちにできること　訪問看護物語～（11・完）,広田奈都美,825,
秋田書店,16,A.L.C.DX,朝子のムジカ！！（２）,和田フミ江,748,
秋田書店,16,MIU恋愛MAXCOMICS,わたしは憧れの恋人（２）,花田祐実,748,
秋田書店,16,MIU恋愛MAXCOMICS,おじさまが本気を出したなら（１）,本崎月子,748,
秋田書店,16,プリンセス・コミックス,魔女先輩日報（３）,餅田まか,693,
秋田書店,16,プリンセス・コミックス,陰陽師・安倍晴明（７）,結城光流／川端新,693,
秋田書店,16,プリンセス・コミックス,アナトミア　―解剖してわかったことだが、人間は必ず死ぬようにできている―（２）,高城玲,693,
秋田書店,16,プリンセス・コミックス　プチプリ,偽装結婚のススメ　～溺愛彼氏とすれちがい～（８）,雨宮榮子,693,
秋田書店,16,プリンセス・コミックス　プチプリ,陽だまりシェアハウス（５）,小島美帆子,770,
秋田書店,16,プリンセス・コミックスDX カチCOMI,ヤンキーの津田くんは生徒指導の増田先生と仲が悪い（２）,多賀タイラ,770,
秋田書店,16,ボニータ・コミックス,9番目のムサシ　ゴースト アンド グレイ（11）,髙橋美由紀,693,
秋田書店,16,ボニータ・コミックス,ぼんくら陰陽師の鬼嫁（７）,秋田みやび／遠野由来子,693,
