00000735000012024082820000	2024-08-28 14:14:13	SL003301j		000118183306375	yamato	failure		{"pspMerchantId":"888888601","pspShortName":"yamato","amount":"1","jpo":"10","orderId":"9XHX**************6554","ttyId":"0000******************0000","category":"2","sn":"0001*******6375","requestDate":"2024******1413"}	{"requestDate":"2024******1413","vResultCode":"Z012000009","responseDate":"2024******1415","mstatus":"failure"}
00000735000012024082820000	2024-08-28 18:38:50	SL003301j		000118183306375	yamato	failure		{"pspMerchantId":"888888601","pspShortName":"yamato","amount":"1","jpo":"10","orderId":"9XHX**************5104","ttyId":"0000******************0000","category":"2","sn":"0001*******6375","requestDate":"2024******3850"}	{"requestDate":"2024******3850","vResultCode":"A012080001","responseDate":"2024******3851","mstatus":"failure"}
00000735000012024082820000	2024-08-28 18:40:19	SL003301j		000118183306375	yamato	failure		{"pspMerchantId":"888888601","pspShortName":"yamato","amount":"1","jpo":"10","orderId":"9XHX**************4925","ttyId":"0000******************0000","category":"2","sn":"0001*******6375","requestDate":"2024******4019"}	{"requestDate":"2024******4019","vResultCode":"A012080001","responseDate":"2024******4021","mstatus":"failure"}
00000735000012024082820000	2024-08-28 18:50:54	SL003301j		000118183306375	yamato	failure		{"pspMerchantId":"888888601","pspShortName":"yamato","amount":"1","jpo":"10","orderId":"9XHX**************9956","ttyId":"0000******************0000","category":"2","sn":"0001*******6375","requestDate":"2024******5054"}	{"requestDate":"2024******5054","vResultCode":"A012080001","responseDate":"2024******5055","mstatus":"failure"}
00000735000012024082920000	2024-08-29 09:30:47	SL003301j		000118183306375	yamato	failure		{"pspMerchantId":"888888601","pspShortName":"yamato","amount":"1","jpo":"10","orderId":"9XHX**************7782","ttyId":"0000******************0000","category":"2","sn":"0001*******6375","requestDate":"2024******3047"}	{"requestDate":"2024******3047","vResultCode":"A012080001","responseDate":"2024******3048","mstatus":"failure"}
00000735000012024082920000	2024-08-29 09:31:52	SL003301j		000118183306375	yamato	failure		{"pspMerchantId":"888888601","pspShortName":"yamato","amount":"1","jpo":"10","orderId":"9XHX**************9312","ttyId":"0000******************0000","category":"2","sn":"0001*******6375","requestDate":"2024******3152"}	{"requestDate":"2024******3152","vResultCode":"A012080001","responseDate":"2024******3154","mstatus":"failure"}
00000735000012024090920000	2024-09-09 09:30:39	SL003301j		000118183306375	yamato	failure		{"pspMerchantId":"888888601","pspShortName":"yamato","amount":"1","jpo":"10","orderId":"9XHX**************9666","ttyId":"0000******************0000","category":"2","sn":"0001*******6375","requestDate":"2024******3039"}	{"requestDate":"2024******3039","vResultCode":"A012080001","responseDate":"2024******3040","mstatus":"failure"}
00000735000012024090920000	2024-09-09 11:42:40	SL003301j		000118183306375	yamato	success		{"pspMerchantId":"700044502","pspShortName":"yamato","amount":"1","jpo":"10","orderId":"9XHX**************9158","ttyId":"0000******************0000","category":"2","sn":"0001*******6375","requestDate":"2024******4240"}	{"requestDate":"2024******4240","resAuthCode":"0114242","responseDate":"2024******4243","mstatus":"success"}
00000714000082024122008692	2024-12-20 21:11:49	SL002216Pb		000118183306378	smbc-gp	failure		{"ttyId":"0000******************8692","category":"2","orderId":"DW24******0020","transactionDate":"20241220","jpo":"10","amount":"1100","merchantFree1":"サカモトヨシミ","tmpCode1":"8200000066149","pspShortName":"smbc-gp","sn":"0001*******6378","requestDate":"2024******1149"}	{"requestDate":"2024******1149","merrMsg":"E01040010","vResultCode":"E01","responseDate":"2024******1149","mstatus":"failure"}
00000714000082024122008692	2024-12-20 21:09:25	SL002216Pb		000118183306378	smbc-gp	success		{"ttyId":"0000******************8692","category":"2","orderId":"DW24******0020","transactionDate":"20241220","jpo":"10","amount":"1100","merchantFree1":"サカモトヨシミ","tmpCode1":"8200000066149","pspShortName":"smbc-gp","sn":"0001*******6378","requestDate":"2024******0925"}	{"requestDate":"2024******0925","checkString":"5f60************************e707","forward":"2a99663","merchantFree1":"サカモトヨシミ","merchantFree2":"","merchantFree3":"","method":"1","orderId":"DW24******0020","payTimes":"","processId":"2412********************4979","resAuthCode":" 720622","tranDate":"2024******0927","responseDate":"2024******0927","mstatus":"success"}
00000159000042024060803702	2024-06-08 15:50:19	SL002901		000118183306619	veritrans	success		{"ttyId":"0000******************3702","category":"3","orderId":"2024********4702","transactionDate":"20240608","jpo":"10","amount":"38950","dummy":"xxxxxxxxxxxx","sn":"0001*******6619","requestDate":"2024******5019"}	{"requestDate":"2024******5019","acqId":"13","merrMsg":"処理が成功しました。","orderId":"2024********4702","resAuthCode":"013441","vResultCode":"A001********0000","responseDate":"2024******5020","mstatus":"success"}
00000159000042024060803702	2024-06-08 15:48:27	SL002901		000118183306619	veritrans	success		{"ttyId":"0000******************3702","category":"3","orderId":"2024********4701","transactionDate":"20240608","jpo":"10","amount":"38950","dummy":"xxxxxxxxxxxx","sn":"0001*******6619","requestDate":"2024******4827"}	{"requestDate":"2024******4827","acqId":"13","merrMsg":"処理が成功しました。","orderId":"2024********4701","resAuthCode":"013433","vResultCode":"A001********0000","responseDate":"2024******4828","mstatus":"success"}
00000526001422024091600214	2024-09-16 12:40:19	SL005736		P217221Q20130	paygent	success		{"transactionDate":"20240916","dataType":"1","recordType":"10","category":"4","customerId":"EC0029422761","procNo":"0001","pspShortName":"paygent","cardholderName":"SATO SAWORI","readMethod":"IC","ttyId":"0000******************0214","dummy":"xxxx*******xxxx","sn":"P217221Q20130","requestDate":"2024******4019"}	{"requestDate":"2024******4019","acqId":"99661","acqName":"JCB","checkString":"W6a6********************************************************CQds","customerCardId":"194419745","issurId":"99819","issurName":"AMEX","merrMsg":"","numOfCards":"1","readMethod":"IC","vResultCode":"","responseDate":"2024******4021","mstatus":"success"}
00000526001422024091600214	2024-09-16 12:40:20	SL005736		P217221Q20130	paygent	success		{"transactionDate":"20240916","dataType":"1","recordType":"10","category":"4","customerId":"EC0029422761","procNo":"0001","pspShortName":"paygent","cardholderName":"SATO SAWORI","readMethod":"IC","ttyId":"0000******************0214","dummy":"xxxx*******xxxx","sn":"P217221Q20130","requestDate":"2024******4020"}	{"requestDate":"2024******4020","acqId":"99661","acqName":"JCB","checkString":"W6a6********************************************************CQds","customerCardId":"194419746","issurId":"99819","issurName":"AMEX","merrMsg":"","numOfCards":"2","readMethod":"IC","vResultCode":"","responseDate":"2024******4021","mstatus":"success"}
00000526001422024091600214	2024-09-16 12:40:21	SL005736		P217221Q20130	paygent	success		{"transactionDate":"20240916","dataType":"1","recordType":"10","category":"4","customerId":"EC0029422761","procNo":"0001","pspShortName":"paygent","cardholderName":"SATO SAWORI","readMethod":"IC","ttyId":"0000******************0214","dummy":"xxxx*******xxxx","sn":"P217221Q20130","requestDate":"2024******4021"}	{"requestDate":"2024******4021","acqId":"99661","acqName":"JCB","checkString":"W6a6********************************************************CQds","customerCardId":"194419750","issurId":"99819","issurName":"AMEX","merrMsg":"","numOfCards":"3","readMethod":"IC","vResultCode":"","responseDate":"2024******4022","mstatus":"success"}
00000604002242024111404887	2024-11-14 09:23:45	SL006148Pa		P217221Q20161	gmo-pg	success		{"customerId":"224915819","dataType":"1","recordType":"10","category":"4","pspShortName":"gmo-pg","transactionDate":"20241114","ttyId":"0000******************4887","dummy":"xxxxxxx","sn":"P217221Q20161","requestDate":"2024******2345"}	{"requestDate":"2024******2345","brand":"VISA","cardKindCd":"0","customerCardId":"0","customerId":"224915819","formatType":"","forward":"2a99663","issurClass":"1","issurId":"2s50001","issurName":"2a99663","responseDate":"2024******2348","mstatus":"success"}
00000604002242024111404887	2024-11-14 09:23:45	SL006148Pa		P217221Q20161	gmo-pg	success		{"customerId":"224915819","dataType":"1","recordType":"10","category":"4","pspShortName":"gmo-pg","transactionDate":"20241114","ttyId":"0000******************4887","dummy":"xxxxxxx","sn":"P217221Q20161","requestDate":"2024******2345"}	{"requestDate":"2024******2345","brand":"VISA","cardKindCd":"0","customerCardId":"0","customerId":"224915819","formatType":"","forward":"2a99663","issurClass":"1","issurId":"2s50001","issurName":"2a99663","responseDate":"2024******2347","mstatus":"success"}
00000605000742025013005225	2025-01-30 09:19:21	SL006148Pb		P217221R20084	gmo-pg	success		{"customerId":"4290963601","dataType":"1","recordType":"10","category":"4","pspShortName":"gmo-pg","transactionDate":"20250130","ttyId":"0000******************5225","dummy":"xxxxxx","sn":"P217221R20084","requestDate":"2025******1921"}	{"requestDate":"2025******1921","customerCardId":"0","customerId":"4290963601","forward":"2a99663","responseDate":"2025******1924","mstatus":"success"}
00000605000742025013005225	2025-01-30 09:19:22	SL006148Pb		P217221R20084	gmo-pg	success		{"customerId":"4290963601","dataType":"1","recordType":"10","category":"4","pspShortName":"gmo-pg","transactionDate":"20250130","ttyId":"0000******************5225","dummy":"xxxxxx","sn":"P217221R20084","requestDate":"2025******1922"}	{"requestDate":"2025******1922","customerCardId":"0","customerId":"4290963601","forward":"2a99663","responseDate":"2025******1926","mstatus":"success"}
00000605000772024052100724	2024-05-21 15:42:25	SL006148Pb		P217221R20206	gmo-pg	failure		{"customerId":"5310281927","dataType":"1","recordType":"10","category":"4","pspShortName":"gmo-pg","transactionDate":"20240521","ttyId":"0000******************0724","dummy":"xxxxxx","sn":"P217221R20206","requestDate":"2024******4225"}	{"requestDate":"2024******4225","customerId":"5310281927","merrMsg":"E41170099","vResultCode":"E41","responseDate":"2024******4227","mstatus":"failure"}
00000605000772024052100724	2024-05-21 15:42:26	SL006148Pb		P217221R20206	gmo-pg	failure		{"customerId":"5310281927","dataType":"1","recordType":"10","category":"4","pspShortName":"gmo-pg","transactionDate":"20240521","ttyId":"0000******************0724","dummy":"xxxxxx","sn":"P217221R20206","requestDate":"2024******4226"}	{"requestDate":"2024******4226","customerId":"5310281927","merrMsg":"E41170099","vResultCode":"E41","responseDate":"2024******4226","mstatus":"failure"}
00000759000572024082220000	2024-08-22 19:00:34	SL007346Pa		P217239720766	veritrans	failure		{"pspMerchantId":"A100****************32cc","pspShortName":"veritrans","amount":"1","jpo":"10","orderId":"uYnm********************************************************************************************3903","ttyId":"0000******************0000","category":"2","sn":"P217239720766","requestDate":"2024******0034"}	{"requestDate":"2024******0034","acqId":null,"merrMsg":"カード番****************ーです。","orderId":"uYnm********************************************************************************************3903","resAuthCode":null,"vResultCode":"AC27********0000","responseDate":"2024******0034","mstatus":"failure"}
00000759000572024082220000	2024-08-22 19:05:43	SL007346Pa		P217239720766	veritrans	failure		{"pspMerchantId":"A100****************32cc","pspShortName":"veritrans","amount":"1","jpo":"10","orderId":"uYnm********************************************************************************************3787","ttyId":"0000******************0000","category":"2","sn":"P217239720766","requestDate":"2024******0543"}	{"requestDate":"2024******0543","acqId":null,"merrMsg":"カード番****************ーです。","orderId":"uYnm********************************************************************************************3787","resAuthCode":null,"vResultCode":"AC27********0000","responseDate":"2024******0544","mstatus":"failure"}
00000704000172024100701330	2024-10-07 10:14:41	SL006622Pa		P217239721154	paygent	success		{"transactionDate":"20241007","dataType":"1","recordType":"10","category":"3","customerId":"NewC*******irTO","amount":"720","jpo":"10","orderId":"SC252A","procNo":"0001","pspShortName":"paygent","cardholderName":"YOKO**********OSHI","readMethod":"IC","ttyId":"0000******************1330","dummy":"xxx","sn":"P217239721154","requestDate":"2024******1441"}	{"requestDate":"2024******1441","acqId":"99661","acqName":"JCB","checkString":"uvP7********************************************************X57p","customerCardId":"196273029","issurClass":"0","issurId":"99661","issurName":"JCB","merrMsg":"","numOfCards":"1","orderId":"SC252A","processId":"2687689423","readMethod":"IC","vResultCode":"","responseDate":"2024******1443","mstatus":"success"}
00000704000172024100701330	2024-10-07 10:14:42	SL006622Pa		P217239721154	paygent	success		{"transactionDate":"20241007","dataType":"1","recordType":"10","category":"3","customerId":"NewC*******irTO","amount":"720","jpo":"10","orderId":"SC252A","procNo":"0001","pspShortName":"paygent","cardholderName":"YOKO**********OSHI","readMethod":"IC","ttyId":"0000******************1330","dummy":"xxx","sn":"P217239721154","requestDate":"2024******1442"}	{"requestDate":"2024******1442","acqId":"99661","acqName":"JCB","checkString":"uvP7********************************************************X57p","customerCardId":"196273030","issurClass":"0","issurId":"99661","issurName":"JCB","merrMsg":"","numOfCards":"2","orderId":"SC252A","processId":"2687689424","readMethod":"IC","vResultCode":"","responseDate":"2024******1443","mstatus":"success"}
00000704000172024111701498	2024-11-17 14:24:32	SL006622Pa		P217239721154	paygent	success		{"transactionDate":"20241117","dataType":"1","recordType":"10","category":"3","customerId":"NewC*******irTO","amount":"1440","jpo":"10","orderId":"C7228Q","procNo":"0001","pspShortName":"paygent","cardholderName":"OWAD******OSHI","readMethod":"IC","ttyId":"0000******************1498","dummy":"xxxxxxx","sn":"P217239721154","requestDate":"2024******2432"}	{"requestDate":"2024******2432","acqId":"99661","acqName":"JCB","checkString":"Veet********************************************************5jdX","customerCardId":"200048718","issurClass":"0","issurId":"10035","issurName":"ｸﾚﾃﾞｨ ｾｿﾞﾝ","merrMsg":"","numOfCards":"4","orderId":"C7228Q","processId":"2749642892","readMethod":"IC","vResultCode":"","responseDate":"2024******2434","mstatus":"success"}
00000704000172024111701498	2024-11-17 14:24:32	SL006622Pa		P217239721154	paygent	success		{"transactionDate":"20241117","dataType":"1","recordType":"10","category":"3","customerId":"NewC*******irTO","amount":"1440","jpo":"10","orderId":"C7228Q","procNo":"0001","pspShortName":"paygent","cardholderName":"OWAD******OSHI","readMethod":"IC","ttyId":"0000******************1498","dummy":"xxxxxxx","sn":"P217239721154","requestDate":"2024******2432"}	{"requestDate":"2024******2432","acqId":"99661","acqName":"JCB","checkString":"Veet********************************************************5jdX","customerCardId":"200048717","issurClass":"0","issurId":"10035","issurName":"ｸﾚﾃﾞｨ ｾｿﾞﾝ","merrMsg":"","numOfCards":"3","orderId":"C7228Q","processId":"2749642887","readMethod":"IC","vResultCode":"","responseDate":"2024******2434","mstatus":"success"}
00000704000172024122001681	2024-12-20 09:41:09	SL006622Pa		P217239721154	paygent	success		{"transactionDate":"20241220","dataType":"1","recordType":"10","category":"3","customerId":"NewC*******irTO","amount":"41400","jpo":"10","orderId":"BJ22G8","procNo":"0001","pspShortName":"paygent","cardholderName":"ISHII TOSHIKI","readMethod":"IC","ttyId":"0000******************1681","dummy":"xxxxxxx","sn":"P217239721154","requestDate":"2024******4109"}	{"requestDate":"2024******4109","acqId":"99661","acqName":"JCB","checkString":"A5pm********************************************************IFXq","customerCardId":"203004520","issurClass":"0","issurId":"99819","issurName":"AMEX","merrMsg":"","numOfCards":"6","orderId":"BJ22G8","processId":"2798660797","readMethod":"IC","vResultCode":"","responseDate":"2024******4111","mstatus":"success"}
00000704000172024122001681	2024-12-20 09:41:09	SL006622Pa		P217239721154	paygent	success		{"transactionDate":"20241220","dataType":"1","recordType":"10","category":"3","customerId":"NewC*******irTO","amount":"41400","jpo":"10","orderId":"BJ22G8","procNo":"0001","pspShortName":"paygent","cardholderName":"ISHII TOSHIKI","readMethod":"IC","ttyId":"0000******************1681","dummy":"xxxxxxx","sn":"P217239721154","requestDate":"2024******4109"}	{"requestDate":"2024******4109","acqId":"99661","acqName":"JCB","checkString":"A5pm********************************************************IFXq","customerCardId":"203004519","issurClass":"0","issurId":"99819","issurName":"AMEX","merrMsg":"","numOfCards":"5","orderId":"BJ22G8","processId":"2798660794","readMethod":"IC","vResultCode":"","responseDate":"2024******4111","mstatus":"success"}
00000759000602024082220000	2024-08-22 19:05:59	SL007346Pa		P217239820071	veritrans	failure		{"pspMerchantId":"A100****************32cc","pspShortName":"veritrans","amount":"1","jpo":"10","orderId":"uYnm********************************************************************************************7618","ttyId":"0000******************0000","category":"2","sn":"P217239820071","requestDate":"2024******0558"}	{"requestDate":"2024******0558","acqId":null,"merrMsg":"カード番****************ーです。","orderId":"uYnm********************************************************************************************7618","resAuthCode":null,"vResultCode":"AC27********0000","responseDate":"2024******0559","mstatus":"failure"}
