Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-01-30 09:00:00+09:00,4844.0,4889.0,4781.0,4857.0,0,0.0,0.0
2026-01-30 10:00:00+09:00,4857.0,4882.0,4854.0,4870.0,487600,0.0,0.0
2026-01-30 11:00:00+09:00,4869.0,4903.0,4862.0,4884.0,1278100,0.0,0.0
2026-01-30 12:00:00+09:00,4890.0,5024.0,4850.0,4939.0,2745000,0.0,0.0
2026-01-30 13:00:00+09:00,4939.0,4969.0,4907.0,4953.0,1158900,0.0,0.0
2026-01-30 14:00:00+09:00,4954.0,4958.0,4875.0,4878.0,1201800,0.0,0.0
2026-01-30 15:00:00+09:00,4878.0,4885.0,4840.0,4846.0,908600,0.0,0.0
2026-02-02 09:00:00+09:00,4979.0,5037.0,4961.0,5002.0,0,0.0,0.0
2026-02-02 10:00:00+09:00,5001.0,5008.0,4958.0,4962.0,841800,0.0,0.0
2026-02-02 11:00:00+09:00,4962.0,4977.0,4953.0,4954.0,266100,0.0,0.0
2026-02-02 12:00:00+09:00,4950.0,4972.0,4923.0,4930.0,518700,0.0,0.0
2026-02-02 13:00:00+09:00,4929.0,4937.0,4916.0,4930.0,406700,0.0,0.0
2026-02-02 14:00:00+09:00,4931.0,4935.0,4900.0,4913.0,488300,0.0,0.0
2026-02-02 15:00:00+09:00,4912.0,4915.0,4901.0,4914.0,262100,0.0,0.0
