出版社,発売日,シリーズ名・書名,著者,予価,
KADOKAWA,4,アライブ＋,マンガで分かる！Magic Story（2） マジック：ザ・ギャザリング,ウィザーズ・オブ・ザ・コースト／アノアデザイン,968,
KADOKAWA,4,ヒューコミックス,不死身転生 ～クズだけど再生チートで無双します～（1）,カワディMAX,未定,
KADOKAWA,4,フロース コミック,空っぽ聖女として捨てられたはずが、嫁ぎ先の皇帝陛下に溺愛されています（1）,小山るんち／琴子,748,
KADOKAWA,4,フロース コミック,どうも、好きな人に惚れ薬を依頼された魔女です。（4）,釜田／六つ花えいこほか,未定,
KADOKAWA,4,フロース コミック,妖精印の薬屋さん（5）,志坂瑛人／藤野ほか,未定,
KADOKAWA,4,フロース コミック,悪役令嬢の追放後！ 教会改革ごはんで悠々シスター暮らし（9）,吉村旋／柚原テイル,未定,
KADOKAWA,4,フロース コミック,田中家、転生する。（4）,加藤ミチル／猪口ほか,未定,
KADOKAWA,4,フロース コミック,聖女じゃなかったので、王宮でのんびりご飯を作ることにしました（6）,朝谷コトリ／神山りおほか,未定,
KADOKAWA,4,フロース コミック,光と影（9）,ひおん／RYU,未定,
KADOKAWA,4,フロース コミック,末っ子皇女殿下（4）,Stonehead（AKEO STUDIO）／SAHA,未定,
KADOKAWA,4,フロース コミック,悪役のエンディングは死のみ（4）,SUOL／Gwon Gyeoeul,未定,
KADOKAWA,4,フロース コミック,皇帝の一人娘（14）,RINO／YUNSUL,未定,
KADOKAWA,4,フロース コミック,今世は当主になります（1）,Mon （Antstudio）／Kim Roah,未定,
KADOKAWA,4,フロース コミック,お嬢様がしくじった後（1）,Nalanxian／China Literature／ナランシエン チャイナ リタラチャー,未定,
KADOKAWA,4,フロース コミック,我慢してください、大公様（1）,Manta Comics／Jin Soye,未定,
KADOKAWA,4,角川コミックス・エース,シュガーアップル・フェアリーテイル（3）,三川みり／夜空のうどんほか,未定,
KADOKAWA,4,角川コミックス・エース,聖女メリアと千年王国の騎士（3）,神江ちず,未定,
KADOKAWA,4,角川コミックス・エース,妖花街にて保育士をすることになりまして。（1）,小花衣いろは／神谷ユウ,未定,
KADOKAWA,4,角川コミックス・エース,六人の嘘つきな大学生【プラス1】（2）,浅倉秋成／大沢形画ほか,未定,
KADOKAWA,4,角川コミックス・エース,くだんのピストル（4）,大塚英志／山崎峰水,未定,
KADOKAWA,4,角川コミックス・エース,春あかね高校定時制夜間部,heisoku,未定,
KADOKAWA,4,角川コミックス・エース,文豪ストレイドッグス DEAD APPLE（4）,銃爺／文豪ストレイドッグスDA製作委員会,未定,
KADOKAWA,4,角川コミックス・エース,文豪ストレイドッグス 太宰、中也、十五歳（2）,星河シワス／朝霧カフカほか,748,
KADOKAWA,4,角川コミックス・エース,13回目の足跡（1）,三部けい,未定,
KADOKAWA,4,単行本コミックス,CLAMP PREMIUM COLLECTION X（12）,CLAMP,770,
KADOKAWA,4,単行本コミックス,CLAMP PREMIUM COLLECTION X（13）,CLAMP,770,
KADOKAWA,4,単行本コミックス,【愛蔵版】多重人格探偵サイコ COLLECTION BOX（1）,田島昭宇×大塚英志,3960,
KADOKAWA,8,BRIDGE COMICS,ドクター・ホワイト（2）,安東鵙／樹林伸,未定,
KADOKAWA,8,BRIDGE COMICS,新版 超訳百人一首 うた恋い。（2）,杉田圭／渡部泰明,未定,
KADOKAWA,8,BRIDGE COMICS,余命一年と宣告された僕が、余命半年の君と出会った話（1）,森田碧／沖野れん,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,KILLING ME/KILLING YOU（4）,成田芋虫,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,異世界ゆるっとサバイバル生活～学校の皆と異世界の無人島に転移したけど俺だけ楽勝です～（5）,西尾洋一／絢乃ほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,両片思いオーバーキル！（1）,保住圭／未定,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,四姉妹は夜をおまちかね（4）,Bcoca／保住圭,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,没落予定なので、鍛冶職人を目指す（13）,石田彩／CKほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,僕のカノジョ先生（10）,星河蟹／孟倫（SDwing）ほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,異世界でスキルを解体したらチートな嫁が増殖しました 概念交差のストラクチャー（11）,カタセミナミ／千月さかきほか,未定,
KADOKAWA,9,ドラゴンコミックスエイジ,ひかる to ヒカル（1）,仙道八／未定,未定,
