出版社,発売日,シリーズ名・書名,著者,予価,
秋田書店,8,少年チャンピオン・コミックス,気絶勇者と暗殺姫（2）,のりしろちゃん／雪田幸路,550,
秋田書店,8,少年チャンピオン・コミックス,ルパン三世　異世界の姫君（7）,モンキー・パンチ／エム・ピー・ワークス／内々けやきほか,550,
秋田書店,8,少年チャンピオン・コミックス,魔入りました！入間くん（32）,西修,561,
秋田書店,8,少年チャンピオン・コミックス,魔界の主役は我々だ！（14）,津田沼篤／西修ほか,561,
秋田書店,8,少年チャンピオン・コミックス,あっぱれ！浦安鉄筋家族（16）,浜岡賢次,550,
秋田書店,8,少年チャンピオン・コミックス,桃源暗鬼（15）,漆原侑来,561,
秋田書店,8,少年チャンピオン・コミックス,GranFamilia（5・完）,濱田賢治,550,
秋田書店,8,少年チャンピオン・コミックス,弱虫ペダル（84）,渡辺航,561,
秋田書店,8,少年チャンピオン・コミックス,ダーウィンズゲーム（28）,FLIPFLOPs,561,
秋田書店,8,少年チャンピオン・コミックス,天災狩り（3）,荒井春太郎,550,
秋田書店,8,少年チャンピオン・コミックス,バキ外伝　ガイアとシコルスキー　～ときどきノムラ　二人だけど三人暮らし～（2）,板垣恵介／林たかあき,693,
秋田書店,8,少年チャンピオン・コミックス,バキ外伝　烈海王は異世界転生しても一向にかまわんッッ（8）,板垣恵介／猪原賽ほか,693,
秋田書店,8,少年チャンピオン・コミックス,かわいい後輩に言わされたい（5）,川村拓,693,
秋田書店,8,少年チャンピオン・コミックス,はらぺこ銀河（下）,魚乃目三太,792,
秋田書店,8,少年チャンピオン・コミックス,腹ペコ聖女とまんぷく魔女の異世界スローライフ！（3）,蛙田アメコ／冬野なべほか,693,
秋田書店,8,少年チャンピオン・コミックス,宮廷をクビになった植物魔導師はスローライフを謳歌する～のんびり世界樹を育てたら、最強領地ができました～（1）,蛙田アメコ／十三木考ほか,726,
秋田書店,8,少年チャンピオン・コミックス,AIの遺電子　Blue Age（6）,山田胡瓜,726,
秋田書店,8,少年チャンピオン・コミックス,百魔の主　異世界で魔王チートは最強かもしれません（5）,葵大和／ぐーのほか,693,
秋田書店,8,少年チャンピオン・コミックス,この冒険者、人類史最強です～外れスキル『鑑定』が『継承』に覚醒したので、数多の英雄たちの力を受け継ぎ無双する～（1）,日之影ソラ／みやけりくほか,726,
秋田書店,8,少年チャンピオン・コミックス・エクストラ,聖闘士星矢　Final Edition（8）,車田正美,1280,
秋田書店,8,少年チャンピオン・コミックス・エクストラ,聖闘士星矢　Final Edition（9）,車田正美,1280,
秋田書店,8,少年チャンピオン・コミックス・タップ！,おひ釣りさま（10）,とうじたつや,726,
秋田書店,15,A.L.C.DX,赤子さんはかく語れり（1）,魅月乱,748,
秋田書店,15,A.L.C.DX,いつかのいつか（4）,六多いくみ,693,
