出版社,発売日,シリーズ名・書名,著者,予価,
秋田書店,6,少年チャンピオン・コミックス,木曜日のフルット（10）,石黒正数,528,
秋田書店,6,少年チャンピオン・コミックス,弱虫ペダル　SPARE BIKE 公式ファンブック,渡辺航／別冊少年チャンピオン編集部,1200,
秋田書店,6,少年チャンピオン・コミックス,弱虫ペダル　SPARE BIKE（11）,渡辺航,594,
秋田書店,6,少年チャンピオン・コミックス,ルパン三世　異世界の姫君（５）,モンキー・パンチ／エム・ピー・ワークス／内々けやきほか,550,
秋田書店,6,少年チャンピオン・コミックス,BREAK BACK（15）,ＫＡＳＡ,550,
秋田書店,6,少年チャンピオン・コミックス,もういっぽん！（21）,村岡ユウ,550,
秋田書店,6,少年チャンピオン・コミックス,SHY（17）,実樹ぶきみ,550,
秋田書店,6,少年チャンピオン・コミックス,ヤンキーJKクズハナちゃん（14）,宗我部としのり,550,
秋田書店,6,少年チャンピオン・コミックス,ハリガネサービスACE（20）,荒達哉,550,
秋田書店,6,少年チャンピオン・コミックス,桃源暗鬼（13）,漆原侑来,561,
秋田書店,6,少年チャンピオン・コミックス,GranFamilia（３）,濱田賢治,550,
秋田書店,6,少年チャンピオン・コミックス,自伝板垣恵介自衛隊秘録～我が青春の習志野第一空挺団～,板垣恵介,726,
秋田書店,6,少年チャンピオン・コミックス,サイコ×パスト　猟奇殺人潜入捜査（３）,本田真吾,726,
秋田書店,6,少年チャンピオン・コミックス,百魔の主　異世界で魔王チートは最強かもしれません（４）,葵大和／ぐーのほか,693,
秋田書店,6,少年チャンピオン・コミックス,READY BRAVO（２）,古谷野孝雄,726,
秋田書店,6,少年チャンピオン・コミックス,WORST外伝　ゼットン先生（８）,髙橋ヒロシ／鈴木大ほか,726,
秋田書店,6,少年チャンピオン・コミックス,WORST外伝　サブロクサンタ　名もなきカラスたち（３）,髙橋ヒロシ／キタハラタケヨほか,726,
秋田書店,6,少年チャンピオン・コミックス・エクストラ,WORST外伝　グリコ（20）,髙橋ヒロシ／鈴木リュータ,726,
秋田書店,6,少年チャンピオン・コミックス・エクストラ,アルマジロのジョン　from 吸血鬼すぐ死ぬ（２）,盆ノ木至,1045,
秋田書店,6,少年チャンピオン・コミックス・エクストラ,Lost Children（10）（完）,隅山巴文,880,
秋田書店,6,少年チャンピオン・コミックス・エクストラ,あの子のおっぱいからどうにも目がはなせないアンソロジーコミック（５）,月刊少年チャンピオン編集部,770,
秋田書店,16,A.L.C.DX,マダム、完全犯罪はお好きでしょう？（２）,石井まゆみ,748,
秋田書店,16,A.L.C.DX,やも男と女形（１）,会田薫,748,
秋田書店,16,A.L.C.DX,どうぞごじゆうに　～クミコの発酵暮らし～（１）,いのうえさきこ,748,
秋田書店,16,A.L.C.DX,サチのお寺ごはん（12）,かねもりあやみ／青江覚峰ほか,748,
秋田書店,16,MIU恋愛MAXCOMICS,紳士な彼はとんでもない魔性の巨●でした（２）,ミヤケ円,748,
