出版社,発売日,シリーズ名・書名,著者,予価,
秋田書店,7,少年チャンピオン・コミックス,姫島くん、あと20センチ！（2）,ゆいち恭,550,
秋田書店,7,少年チャンピオン・コミックス,チキン 「ドロップ」前夜の物語（40）,井口達也／歳脇将幸,550,
秋田書店,7,少年チャンピオン・コミックス,ルパン三世 異世界の姫君（9）,モンキー・パンチ/エム・ピー・ワークス／内々けやきほか,550,
秋田書店,7,少年チャンピオン・コミックス,BLUE DOT（3）,堀翔一,550,
秋田書店,7,少年チャンピオン・コミックス,魔入りました！入間くん（35）,西修,561,
秋田書店,7,少年チャンピオン・コミックス,魔界の主役は我々だ！（16）,津田沼篤／西修ほか,561,
秋田書店,7,少年チャンピオン・コミックス,魔入りました！入間くん if Episode of 魔フィア（1）,hiro者／西修,561,
秋田書店,7,少年チャンピオン・コミックス,もういっぽん！（26）,村岡ユウ,550,
秋田書店,7,少年チャンピオン・コミックス,SHY（22）,実樹ぶきみ,550,
秋田書店,7,少年チャンピオン・コミックス,クワトロバッテリー（12）,高嶋栄充,550,
秋田書店,7,少年チャンピオン・コミックス,玉森部長の妄想はとまらない（2）,タツワイプ,550,
秋田書店,7,少年チャンピオン・コミックス,あの頃、私たちは魔法使いでした。（1）,星乃花束,726,
秋田書店,7,少年チャンピオン・コミックス,ババンババンバンバンパイア（6）,奥嶋ひろまさ,726,
秋田書店,7,少年チャンピオン・コミックス,漫画 ゆうえんち バキ外伝―（4）,板垣恵介／夢枕獏ほか,726,
秋田書店,7,少年チャンピオン・コミックス,フェアウェイの声をきかせて（1）,椎葉裕巳,726,
秋田書店,7,少年チャンピオン・コミックス,腹ペコ聖女とまんぷく魔女の異世界スローライフ！（4）（完）,蛙田アメコ／冬野ナベほか,693,
秋田書店,7,少年チャンピオン・コミックス,百魔の主 異世界で魔王チートは最強かもしれません（6）,葵大和／ぐーのほか,693,
秋田書店,7,少年チャンピオン・コミックス,スライム娘は侵食したい！（1）,橋本くらら,726,
秋田書店,7,少年チャンピオン・コミックス,不死と罰（5）,佐藤健太郎,726,
秋田書店,7,少年チャンピオン・コミックス,この冒険者、人類史最強です～外れスキル『鑑定』が『継承』に覚醒したので、数多の英雄たちの力を受け継ぎ無双する～（2）,日之影ソラ／みやけりくほか,726,
秋田書店,7,少年チャンピオン・コミックス,うるしうるはし（1）,樋渡りん／もりちか,726,
秋田書店,14,プリンセス・コミックス,白花繚乱 白き少女と天才軍師―（2）,田中芳樹／栗美あい,693,
秋田書店,14,プリンセス・コミックス,咲き還り姫の葬歌～捨てられた花は復讐に舞う～（1）,もすこ,693,
秋田書店,14,プリンセス・コミックスDX カチCOMI,まちのヤクザとパン屋さん 結,あめのジジ,748,
秋田書店,14,ボニータ・コミックス,いつか死ぬなら絵を売ってから（2）,ぱらり,748,
秋田書店,14,A.L.C.DX,57人の遺産相続人（2）（完）,夢路行,770,
秋田書店,14,A.L.C.DX,あの山越えて 日・日・天のたより（7）,夢路行,770,
秋田書店,20,チャンピオンREDコミックス,サキュバス＆ヒットマン（8）,深見真／刻夜セイゴ,726,
秋田書店,20,チャンピオンREDコミックス,はるかリセット（13）,野上武志,726,
秋田書店,20,チャンピオンREDコミックス,異世界の姫との恋バクチに、人類の存亡がかかってます（3）（完）,河本ほむら／ズズ,726,
秋田書店,20,チャンピオンREDコミックス,妖怪犯科帳～嫁は猫又～（2）（完）,神楽坂淳／朱ひゐろ,726,
秋田書店,20,ヤングチャンピオン・コミックス,じゃあ、君の代わりに殺そうか？ ～プリクエル【前日譚】～（4）,蔵人幸明／榊原宗々,693,
秋田書店,20,ヤングチャンピオン・コミックス,バウンサー（14）,みずたまこと,693,
秋田書店,20,ヤングチャンピオン・コミックス,運びの犬（10）,清水ヤスヲミ,693,
秋田書店,20,ヤングチャンピオン・コミックス,角栄に花束を（10）,大和田秀樹,726,
秋田書店,20,ヤングチャンピオン・コミックス,Mr.CB（13）,綱本将也／谷嶋イサオ,726,
秋田書店,20,ヤングチャンピオン・コミックス,デメキン（34）,佐田正樹／ゆうはじめ,726,
秋田書店,20,ヤングチャンピオン・コミックス,院内警察 アスクレピオスの蛇（6）,酒井義／林いち,726,
秋田書店,20,ヤングチャンピオン・コミックス,隣のお姉さんが好き（4）（完）,藤近小梅,726,
秋田書店,20,ヤングチャンピオン・コミックス,をかしあやかし妖幼異聞～妖怪保育園の事件簿～（2）（完）,吉野弘幸／フォイ,935,
秋田書店,20,ヤングチャンピオン・コミックス,私刑執行人 ～殺人弁護士とテミスの天秤～（2）,草下シンヤ／内田康平,726,
秋田書店,20,ヤングチャンピオン烈コミックス,わたしの知らない、先輩の100コのこと（3）（完）,兎谷あおい／ほんろんろん,726,
秋田書店,27,ヤングチャンピオン・コミックス,モブから始まる探索英雄譚（3）,海翔／てりてりおほか,693,
秋田書店,27,ヤングチャンピオン・コミックス,悪役令嬢の兄に転生しました（4）,内河弘児／よしまつめつほか,693,
秋田書店,27,ヤングチャンピオン・コミックス,偽聖女と虐げられた公爵令嬢は二度目の人生は復讐に生きる（3）（完）,てんてんどんどん／まぶた単,693,
秋田書店,27,ヤングチャンピオン・コミックス,林檎転生 ～禁断の果実は今日もコロコロと無双する～（3）（完）,ガトー／るしかほか,726,
秋田書店,27,ヤングチャンピオン・コミックス,クラス≪無職≫の英雄譚 ～公爵家を追放されたが、実は殴っただけでスキルを獲得できるとわかり、大陸一の英雄に上り詰める～（3）,アメカワ・リーチ／Salah-D,726,
秋田書店,27,ヤングチャンピオン・コミックス,エロティカル・ウィザードと12人の花嫁（1）,太陽ひかる／白津川心太ほか,726,
KADOKAWA,1,あすかコミックスCL-DX,極道さんは愛されるパパで愛妻家,桜城やや／佐倉温,836,
KADOKAWA,1,あすかコミックスCL-DX,黒か白か（11）,さちも,770,
KADOKAWA,1,あすかコミックスCL-DX,この恋は秘密,水名瀬雅良,770,
KADOKAWA,1,あすかコミックスCL-DX,攻め気なあいつ,めぎむら,770,
KADOKAWA,1,あすかコミックスCL-DX,ハイスペ魔王とアラサー勇者,アサナエアラタ,792,
KADOKAWA,1,B\'s-LOG COMICS,異世界の沙汰は社畜次第（5）,采和輝／八月八ほか,759,
KADOKAWA,1,B\'s-LOG COMICS,家から追い出された私は、隣国のお抱え錬金術師として、幸せな第二の人生を送る事にしました！（3）,ななしののん／アルトほか,759,
KADOKAWA,1,B\'s-LOG COMICS,薄幸な公爵令嬢（病弱）に、残りの人生を託されまして 前世が筋肉喪女なので、皇子さまの求愛には気づけません！？（3）,狛句／夕鷺かのうほか,759,
KADOKAWA,1,B\'s-LOG COMICS,虐げられし令嬢は、世界樹の主になりました（4）,永倉早／桜井悠ほか,770,
KADOKAWA,1,B\'s-LOG COMICS,悪役令嬢ルートがないなんて、誰が言ったの？（4）,あさここの／ぷにちゃんほか,759,
KADOKAWA,1,B\'s-LOG COMICS,令嬢エリザベスの華麗なる身代わり生活（4）,よもも／江本マシメサほか,759,
KADOKAWA,4,単行本コミックス,【愛蔵版】多重人格探偵サイコ COLLECTION BOX（3）,田島昭宇×大塚英志,3960,
KADOKAWA,4,角川コミックス・エース,有害超獣（3）,Nykken／Toy(e),748,
KADOKAWA,4,角川コミックス・エース,少年陰陽師（2）,結城光流／空倉シキジ,748,
KADOKAWA,4,角川コミックス・エース,夫婦以上、恋人未満。（11）,金丸祐基,748,
KADOKAWA,4,角川コミックス・エース,恋する2DK、あやかし前妻憑き。（1）,作楽ロク,748,
KADOKAWA,4,角川コミックス・エース,光が死んだ夏（4）,モクモクれん,748,
KADOKAWA,4,角川コミックス・エース,帰ってください！ 阿久津さん（8）,長岡太一,748,
KADOKAWA,4,角川コミックス・エース・エクストラ,Fate/Grand Order 藤丸立香はわからない（4）,槌田／TYPE-MOON,968,
KADOKAWA,4,ヒューコミックス,願いを叶えてくれない魔人（2）,ナラボン,748,
KADOKAWA,4,ヒューコミックス,瀧夜叉姫 陰陽師絵草子（5）,伊藤勢／夢枕獏,748,
KADOKAWA,4,ヒューコミックス,文豪ナツメは料理人が嫌い（3）,松本渚／久部緑郎ほか,748,
KADOKAWA,4,ヒューコミックス,掃除屋K（1）,SJW／HSS,1045,
KADOKAWA,4,ヒューコミックス,掃除屋K（2）,SJW／HSS,1045,
KADOKAWA,4,ヒューコミックス,ELDEN RING 黄金樹への道（4）,飛田ニキイチ／ELDEN RING（株式会社フロム・ソフトウェア）,未定,
KADOKAWA,4,ヒューコミックス,カレー沢薫、漢を語る（1）,カレー沢薫／劇画狼,748,
KADOKAWA,5,フロース コミック,拝啓見知らぬ旦那様、離婚していただきます（1）,紬いろと／久川航璃ほか,748,
KADOKAWA,5,フロース コミック,復讐の皇后（9）,Kim So Hyun／MUSO,1078,
KADOKAWA,5,フロース コミック,復讐の皇后（10）,Kim So Hyun／MUSO,1078,
KADOKAWA,5,フロース コミック,破局予定の悪女のはずが、冷徹公爵様が別れてくれません！（2）,甘夏みのり×仲島歩／琴子ほか,未定,
KADOKAWA,5,フロース コミック,大獣公とユニコニスの乙女（3）,杉町のこ／柚原テイル,748,
KADOKAWA,5,フロース コミック,悪役令嬢に転生失敗して勝ちヒロインになってしまいました（4） ～悪役令嬢の兄との家族エンドを諦めて恋人エンドを目指します～,御守リツヒロ／柚原テイル,748,
KADOKAWA,5,フロース コミック,後宮の黒猫金庫番（1）,未定／岡達英茉ほか,未定,
KADOKAWA,5,フロース コミック,我慢してください、大公様（2）,Manta Comics／Jin Soye,1078,
KADOKAWA,5,フロース コミック,彼女が公爵邸に行った理由（10）,Whale／Milcha,1078,
KADOKAWA,5,フロース コミック,青薔薇アンティークの小公女（3）,コリス／道草家守ほか,748,
KADOKAWA,5,フロース コミック,悪役令嬢の怠惰な溜め息（7）,ほしの総明／篠原皐月ほか,748,
KADOKAWA,5,フロース コミック,身代わりの花嫁は、不器用な辺境伯に溺愛される（3）,一ノ瀬かおる／椎名さえらほか,748,
KADOKAWA,5,フロース コミック,『魅了』の乙女と堅物筆頭魔術師の初恋記録（3）,赤羽にな／高瀬なずな,748,
KADOKAWA,6,ヴァンプコミックス,はにとらっ！ 召喚勇者をハメるハニートラップ包囲網（3）,宮社惣恭／けてるほか,781,
KADOKAWA,6,ヴァンプコミックス,神隠しの楽園（1）,佐原玄清,748,
KADOKAWA,7,角川コミックス・エース,スキルがなければレベルを上げる（8） ～99がカンストの世界でレベル800万からスタート～,岡沢六十四／倉橋ユウス,748,
KADOKAWA,7,角川コミックス・エース,異世界で配信活動をしたら大量のヤンデレ信者を生み出してしまった件（2）,伊予嶺つく／みょん,748,
KADOKAWA,7,角川コミックス・エース,竜王様の最強国家戦略（3） ～竜姫を従えた元王子はスキル【竜王】の力で反旗を翻す～,藤本キシノ／虎戸リアほか,748,
KADOKAWA,7,角川コミックス・エース,賢者の孫（23）,吉岡剛／菊池政治ほか,748,
KADOKAWA,7,角川コミックス・エース,ニッターズハイ！（4）,猫田ゆかり,748,
KADOKAWA,7,角川コミックス・エース,薬師と魔王（2） 永遠の眷恋に咲く,初瀬白／優月アカネほか,748,
KADOKAWA,7,角川コミックス・エース,異世界帰りの英雄曰く（3）,窪茶／涼暮皐,748,
KADOKAWA,7,角川コミックス・エース,僕の声を聞いてほしい！！（2）,楊基政,748,
KADOKAWA,7,角川コミックス・エース,少女怪異紀行（2）,牧野康平／枢木縁,748,
KADOKAWA,8,ドラゴンコミックスエイジ,ゲーセン少女と異文化交流（7）,安原宏和,759,
